"productname"	"formulation"	"route"	"drugsubstance"	"strength"	"prodcode"	"database"
"efexor 75mg tablets"	"Tablet"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"499141000033110"	"A"
"venlafaxine 75mg tablets"	"Tablet"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"1512341000033112"	"A"
"venlafaxine 50mg tablets"	"Tablet"	"Oral"	"venlafaxine hydrochloride"	"50.000mg"	"1512441000033118"	"A"
"efexor 50mg tablets"	"Tablet"	"Oral"	"venlafaxine hydrochloride"	"50.000mg"	"499241000033115"	"A"
"bonilux xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"8265541000033112"	"A"
"amphero xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"9300741000033116"	"A"
"vencarm xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"12194841000033116"	"A"
"venlasov xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"12389941000033119"	"A"
"venzip xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"12641641000033114"	"A"
"efexor xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"498441000033112"	"A"
"venlafaxine 75mg modified-release capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"1509341000033117"	"A"
"vexarin xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"4896841000033113"	"A"
"vensir xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"4899541000033115"	"A"
"tifaxin xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"4817741000033119"	"A"
"winfex xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"4824641000033113"	"A"
"trixat xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"4818641000033112"	"A"
"tardcaps xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"4897141000033117"	"A"
"vaxalin xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"4937041000033115"	"A"
"venaxx xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"4936641000033111"	"A"
"politid xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"4957841000033111"	"A"
"rodomel xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"4817441000033114"	"A"
"foraven xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"5234041000033119"	"A"
"venlaneo xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"6029741000033113"	"A"
"ranfaxine xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"5328941000033119"	"A"
"alventa xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"5813341000033119"	"A"
"venlablue xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"5812541000033115"	"A"
"tonpular xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"5574641000033117"	"A"
"depefex xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"5896341000033112"	"A"
"mentaven xl 75mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"5889541000033114"	"A"
"amphero xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"9300841000033114"	"A"
"bonilux xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"8265641000033113"	"A"
"venzip xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"12641541000033113"	"A"
"venlasov xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"12390341000033114"	"A"
"vencarm xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"12194541000033118"	"A"
"mentaven xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"5889641000033110"	"A"
"tonpular xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"5574741000033114"	"A"
"venlablue xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"5812641000033119"	"A"
"alventa xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"5813141000033117"	"A"
"ranfaxine xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"5329041000033111"	"A"
"venlaneo xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"6029641000033116"	"A"
"depefex xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"5896441000033118"	"A"
"foraven xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"5234141000033115"	"A"
"rodomel xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"4817341000033115"	"A"
"venaxx xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"4936741000033119"	"A"
"politid xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"4957941000033115"	"A"
"vaxalin xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"4937141000033116"	"A"
"tardcaps xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"4897241000033112"	"A"
"trixat xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"4818541000033111"	"A"
"winfex xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"4824541000033112"	"A"
"tifaxin xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"4817641000033111"	"A"
"vensir xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"4899641000033119"	"A"
"vexarin xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"4896741000033115"	"A"
"venlafaxine 150mg modified-release capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"1509241000033110"	"A"
"efexor xl 150mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"498541000033113"	"A"
"venlafaxine 37.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"venlafaxine hydrochloride"	"7.500mg/1.000ml"	"4498541000033116"	"A"
"venlafaxine 37.5mg/5ml oral solution"	"Oral solution"	"Oral"	"venlafaxine hydrochloride"	"7.500mg/1.000ml"	"6000441000033115"	"A"
"venlafaxine 75mg/5ml oral solution"	"Oral solution"	"Oral"	"venlafaxine hydrochloride"	"15.000mg/1.000ml"	"5008041000033112"	"A"
"venlafaxine 75mg/5ml oral suspension"	"Oral suspension"	"Oral"	"venlafaxine hydrochloride"	"15.000mg/1.000ml"	"8867941000033118"	"A"
"sunveniz xl 150mg tablets"	"Modified-release tablet"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"8298641000033115"	"A"
"venladex xl 150mg tablets"	"Modified-release tablet"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"12605441000033117"	"A"
"venlafaxine 150mg modified-release tablets"	"Modified-release tablet"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"4823641000033111"	"A"
"viepax xl 150mg tablets"	"Modified-release tablet"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"4823841000033112"	"A"
"venlalic xl 150mg tablets"	"Modified-release tablet"	"Oral"	"venlafaxine hydrochloride"	"150.000mg"	"5052941000033116"	"A"
"venladex xl 75mg tablets"	"Modified-release tablet"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"12605341000033111"	"A"
"sunveniz xl 75mg tablets"	"Modified-release tablet"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"8298741000033112"	"A"
"venlalic xl 75mg tablets"	"Modified-release tablet"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"5053041000033114"	"A"
"venlafaxine 75mg modified-release tablets"	"Modified-release tablet"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"4823541000033110"	"A"
"viepax xl 75mg tablets"	"Modified-release tablet"	"Oral"	"venlafaxine hydrochloride"	"75.000mg"	"4823741000033119"	"A"
"venladex xl 225mg tablets"	"Modified-release tablet"	"Oral"	"venlafaxine hydrochloride"	"225.000mg"	"12605541000033116"	"A"
"venlalic xl 225mg tablets"	"Modified-release tablet"	"Oral"	"venlafaxine hydrochloride"	"225.000mg"	"5052841000033112"	"A"
"venlafaxine 225mg modified-release tablets"	"Modified-release tablet"	"Oral"	"venlafaxine hydrochloride"	"225.000mg"	"5052741000033119"	"A"
"venlalic xl 37.5mg tablets"	"Modified-release tablet"	"Oral"	"venlafaxine hydrochloride"	"37.500mg"	"6161841000033118"	"A"
"venlafaxine 37.5mg modified-release tablets"	"Modified-release tablet"	"Oral"	"venlafaxine hydrochloride"	"37.500mg"	"6161741000033111"	"A"
"venlafaxine 37.5mg modified-release capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"37.500mg"	"8885441000033118"	"A"
"venlablue xl 37.5mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"37.500mg"	"8885541000033117"	"A"
"vencarm xl 37.5mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"37.500mg"	"12194741000033114"	"A"
"venlafaxine 225mg modified-release capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"225.000mg"	"10730041000033110"	"A"
"efexor xl 225mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"225.000mg"	"10730141000033114"	"A"
"vensir xl 225mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"225.000mg"	"11693641000033117"	"A"
"vencarm xl 225mg capsules"	"Modified-release capsule"	"Oral"	"venlafaxine hydrochloride"	"225.000mg"	"12194641000033117"	"A"
"vortioxetine 10mg tablets"	"Tablet"	"Oral"	"vortioxetine hydrobromide"	"10.000mg"	"10617041000033113"	"A"
"brintellix 10mg tablets"	"Tablet"	"Oral"	"vortioxetine hydrobromide"	"10.000mg"	"10617341000033110"	"A"
"brintellix 20mg tablets"	"Tablet"	"Oral"	"vortioxetine hydrobromide"	"20.000mg"	"10617441000033116"	"A"
"vortioxetine 20mg tablets"	"Tablet"	"Oral"	"vortioxetine hydrobromide"	"20.000mg"	"10617141000033112"	"A"
"vortioxetine 5mg tablets"	"Tablet"	"Oral"	"vortioxetine hydrobromide"	"5.000mg"	"10616941000033112"	"A"
"brintellix 5mg tablets"	"Tablet"	"Oral"	"vortioxetine hydrobromide"	"5.000mg"	"10617241000033117"	"A"
