"medcodeid"	"term"	"group"
"3118041000006112"	"Schizoaffective disorder, bipolar type"	"other psychosis"
"3137261000006111"	"Undifferentiated schizophrenia in remission"	"schizophrenia"
"3169541000006113"	"Mild bipolar I disorder, single manic episode"	"bipolar"
"3174001000006110"	"Severe bipolar I disorder, single manic episode with psychotic features"	"bipolar"
"3175731000006118"	"Amok"	"other psychosis"
"3224371000006115"	"Capgras' syndrome"	"other psychosis"
"3224381000006117"	"Delusional misidentification syndrome"	"other psychosis"
"3224391000006119"	"Capgras syndrome"	"other psychosis"
"3245481000006112"	"Catatonic stupor"	"other psychosis"
"3267191000006117"	"Grandiose delusion disorder"	"other psychosis"
"3318441000006110"	"Thought insertion"	"other psychosis"
"3328681000006114"	"Residual schizophrenia in remission"	"schizophrenia"
"3361131000006115"	"Delusion of guilt"	"other psychosis"
"3369281000006111"	"Depressed bipolar I disorder in remission"	"bipolar"
"3468391000006115"	"Severe bipolar I disorder, most recent episode depressed with psychotic features"	"bipolar"
"3504721000006117"	"Induced psychotic disorder"	"other psychosis"
"3504731000006119"	"Folie à deux"	"other psychosis"
"3504751000006114"	"Induced psychosis"	"other psychosis"
"3504791000006115"	"Induced paranoid disorder"	"other psychosis"
"3527411000006119"	"Paranoid schizophrenia, in remission"	"schizophrenia"
"3527771000006116"	"Bouffée délirante"	"other psychosis"
"3549101000006116"	"Delusional perception"	"other psychosis"
"3555731000006114"	"Paraphrenic schizophrenia"	"schizophrenia"
"3595611000006115"	"Delusional conclusion"	"other psychosis"
"3615761000006116"	"Manic bipolar I disorder"	"bipolar"
"3627341000006115"	"Psychosis"	"other psychosis"
"3656651000006111"	"Chronic residual schizophrenia"	"schizophrenia"
"3760411000006111"	"Jealous delusion disorder"	"other psychosis"
"3788101000006118"	"Chronic undifferentiated schizophrenia with acute exacerbations"	"schizophrenia"
"3846961000006111"	"Bizarre delusion"	"other psychosis"
"3854401000006113"	"Bipolar 2 disorder"	"bipolar"
"3862661000006112"	"Chronic schizophrenia"	"schizophrenia"
"3886291000006119"	"Bipolar disorder, in remission"	"bipolar"
"3895621000006112"	"Subchronic undifferentiated schizophrenia"	"schizophrenia"
"3946141000006118"	"Schizophreniform disorder"	"other psychosis"
"3956691000006118"	"Persecutory delusion disorder"	"other psychosis"
"3959871000006110"	"Delusion of parasitosis"	"other psychosis"
"4082931000006110"	"Schizophrenic reaction"	"other psychosis"
"4196201000006119"	"Mixed bipolar I disorder in full remission"	"bipolar"
"4539931000006112"	"History of schizophrenia"	"schizophrenia"
"4763641000006116"	"Acute exacerbation of chronic disorganised schizophrenia"	"schizophrenia"
"4763791000006118"	"Chronic paranoid schizophrenia with acute exacerbation"	"schizophrenia"
"4763891000006112"	"Subchronic schizoaffective schizophrenia"	"other psychosis"
"4763911000006114"	"Acute exacerbation of subchronic schizoaffective schizophrenia"	"other psychosis"
"4763921000006118"	"Acute exacerbation of chronic schizoaffective schizophrenia"	"other psychosis"
"4764391000006115"	"Paranoia"	"other psychosis"
"4767311000006117"	"Bipolar affective disorder, current episode mixed"	"bipolar"
"4941461000006118"	"Paranoid delusion"	"other psychosis"
"5023391000006116"	"Reactive psychosis"	"other psychosis"
"5023901000006110"	"Post-schizophrenic depression"	"schizophrenia"
"5023961000006111"	"Manic"	"bipolar"
"5128631000006110"	"Cutaneous monosymptomatic delusional psychosis"	"other psychosis"
"5128641000006117"	"Delusions of parasitosis"	"other psychosis"
"5128651000006115"	"Delusions of infestation"	"other psychosis"
"5128661000006118"	"Delusion of foul odour"	"other psychosis"
"5128691000006114"	"Delusional hyperhidrosis"	"other psychosis"
"5247171000006117"	"Delusion of grandiose ability"	"other psychosis"
"5247181000006119"	"Delusion of grandiose identity"	"other psychosis"
"5247201000006118"	"Religious delusion"	"other psychosis"
"5247211000006115"	"Delusional mood"	"other psychosis"
"5247231000006114"	"Delusion associated with smell"	"other psychosis"
"5247261000006117"	"Delusion of depersonalisation"	"other psychosis"
"5247281000006110"	"Nihilistic delusion"	"other psychosis"
"5247401000006117"	"Hypochondriacal delusion"	"other psychosis"
"5247421000006110"	"Delusion of replacement of will by external force"	"other psychosis"
"5248961000006113"	"Schizophrenic prodrome"	"other psychosis"
"5435901000006117"	"Bipolar"	"bipolar"
"5517971000006118"	"Mixed schizophrenic and affective psychosis"	"other psychosis"
"5568191000006118"	"Acute polymorphic psychotic disorder"	"other psychosis"
"5582571000006113"	"Primary delusions"	"other psychosis"
"5582581000006111"	"Delusional memories"	"other psychosis"
"5614121000006115"	"Involutional paranoid state"	"other psychosis"
"5614141000006110"	"Delusional dysmorphophobia"	"other psychosis"
"5624451000006114"	"Psychotic symptom finding"	"other psychosis"
"5645621000006116"	"De Clerambault's syndrome"	"other psychosis"
"5649431000006118"	"Hypomanic mood"	"bipolar"
"5688901000006116"	"Hypomanic behaviour"	"bipolar"
"5688911000006118"	"Hypomanic behavior"	"bipolar"
"5688921000006114"	"Manic behaviour"	"bipolar"
"5688931000006112"	"Manic behavior"	"bipolar"
"5699381000006117"	"Delusion of unworthiness"	"other psychosis"
"5718641000006117"	"Level of psychoticism"	"other psychosis"
"5933701000006116"	"Profile of mood states, bipolar"	"bipolar"
"5934531000006116"	"Delusional transference"	"other psychosis"
"6357571000006119"	"Bipolar 1 disorder"	"bipolar"
"6890801000006117"	"Late onset schizophrenia"	"schizophrenia"
"7018741000006112"	"Delusion of pregnancy"	"other psychosis"
"7515091000006113"	"Delusional disorder in remission"	"other psychosis"
"7696261000006113"	"Acute polymorphic psychotic disorder with symptoms of schizophrenia"	"other psychosis"
"7849081000006116"	"Bipolar type I disorder currently in full remission"	"bipolar"
"7860771000006118"	"Positive symptoms with primary psychotic disorder"	"other psychosis"
"7860791000006117"	"Negative symptoms with primary psychotic disorder"	"other psychosis"
"7860831000006112"	"Manic symptoms with primary psychotic disorder"	"other psychosis"
"8041781000006111"	"Rapid cycling bipolar I disorder"	"bipolar"
"8110251000006118"	"Interpretation of delusions"	"other psychosis"
"8232521000006119"	"Paranoid state in remission"	"other psychosis"
"8232541000006114"	"Non-organic psychosis in remission"	"other psychosis"
"8235161000006110"	"Mixed bipolar affective disorder, in partial remission"	"bipolar"
"8237821000006118"	"Recurrent manic episodes, in remission"	"bipolar"
"8237871000006117"	"Single manic episode in remission"	"bipolar"
"9326201000006116"	"Psychosis in pregnancy"	"other psychosis"
"12059201000006117"	"Bipolar disorder, most recent episode depression"	"bipolar"
"12059211000006119"	"Bipolar disorder, most recent episode manic"	"bipolar"
"12059221000006110"	"Bipolar affective disorder, most recent episode mixed"	"bipolar"
"12059241000006115"	"Bipolar I disorder, most recent episode manic"	"bipolar"
"12480451000006112"	"[X]Schizophrenia, schizotypal and delusional disorders"	"other psychosis"
"12736721000006110"	"FEP - first episode psychosis"	"other psychosis"
"13911951000006118"	"Rapid cycling bipolar II disorder"	"bipolar"
"14472391000006111"	"Acute psychosis"	"other psychosis"
"14745451000006113"	"Early onset schizophrenia"	"schizophrenia"
"14767591000006117"	"Delusion of emitting foul body odour"	"other psychosis"
"14795681000006111"	"Psychotic disorder with insight present"	"other psychosis"
"138421012"	"agitated depression"	"depression"
"251629019"	"h/o: depression"	"depression"
"253619019"	"o/e - depressed"	"depression"
"294824018"	"single major depressive episode, unspecified"	"depression"
"294826016"	"moderate major depression, single episode"	"depression"
"294828015"	"single major depressive episode, severe, with psychosis"	"depression"
"294831019"	"single episode of major depression in full remission"	"depression"
"294832014"	"single major depressive episode nos"	"depression"
"294836012"	"recurrent major depressive episodes, unspecified"	"depression"
"294837015"	"recurrent major depressive episodes, mild"	"depression"
"294838013"	"recurrent major depressive episodes, moderate"	"depression"
"294840015"	"recurrent major depressive episodes, severe, with psychosis"	"depression"
"294843018"	"recurrent major depression in full remission"	"depression"
"294844012"	"recurrent depression"	"depression"
"294845013"	"recurrent major depressive episode nos"	"depression"
"294894013"	"atypical depressive disorder"	"depression"
"294917018"	"reactive depressive psychosis"	"depression"
"294918011"	"psychotic reactive depression"	"depression"
"295494011"	"brief depressive reaction nos"	"depression"
"295535012"	"depressive disorder"	"depression"
"295537016"	"chronic depression"	"depression"
"296138013"	"[x]moderate depressive episode"	"depression"
"296180012"	"[x]recurrent depressive disorder, current episode mild"	"depression"
"296181011"	"[x]recurrent depressive disorder, current episode moderate"	"depression"
"296198011"	"[x]recurrent depressive disorder, currently in remission"	"depression"
"296199015"	"[x]other recurrent depressive disorders"	"depression"
"296207019"	"[x]other persistent mood affective disorders"	"depression"
"296208012"	"[x]persistent mood affective disorder, unspecified"	"depression"
"296209016"	"[x]other mood affective disorders"	"depression"
"296218019"	"[x]other specified mood affective disorders"	"depression"
"346972018"	"endogenous depression first episode"	"depression"
"346973011"	"masked depression"	"depression"
"401766011"	"major depression, single episode"	"depression"
"401866015"	"[x]severe depressive episode without psychotic symptoms"	"depression"
"401869010"	"[x]severe depressive episode with psychotic symptoms"	"depression"
"401871010"	"[x]other depressive episodes"	"depression"
"401872015"	"[x]depressive episode, unspecified"	"depression"
"401873013"	"[x]recurrent depressive disorder"	"depression"
"401876017"	"[x]recurrent depressive disorder, unspecified"	"depression"
"401877014"	"[x]other single mood affective disorders"	"depression"
"401878016"	"[x]other recurrent mood affective disorders"	"depression"
"401879012"	"[x]unspecified mood affective disorder"	"depression"
"407062014"	"c/o - feeling depressed"	"depression"
"410861011"	"endogenous depression - recurrent"	"depression"
"441826016"	"endogenous depression"	"depression"
"460274011"	"history of affective disorder"	"depression"
"1488626018"	"symptoms of depression"	"depression"
"1494612017"	"depressive symptoms"	"depression"
"1773563015"	"depression management programme"	"depression"
"2164005017"	"depressed mood"	"depression"
"2164006016"	"depressed"	"depression"
"2474715017"	"on depression register"	"depression"
"2533375017"	"patient given advice about management of depression"	"depression"
"2534091015"	"depression interim review"	"depression"
"2534092010"	"depression medication review"	"depression"
"2534096013"	"depression annual review"	"depression"
"142521000006110"	"major depression single episode, in partial remission"	"depression"
"142541000006115"	"severe major depression, single episode"	"depression"
"182721000006111"	"recurrent major depressive episodes"	"depression"
"182771000006112"	"recurrent major depressive episodes, severe"	"depression"
"182801000006114"	"recurrent major depressive episodes,partial/unspec remission"	"depression"
"202561000006114"	"prolonged depressive adjustment reaction"	"depression"
"223741000000112"	"severe depression"	"depression"
"226411000000110"	"depression enhanced services administration"	"depression"
"226581000000119"	"depression enhanced service completed"	"depression"
"294081000000110"	"exception reporting - depression quality indicators"	"depression"
"294621000000118"	"depression resolved"	"depression"
"300711000000119"	"referral for guided self-help for depression"	"depression"
"359121000006116"	"reactive depression"	"depression"
"366561000006119"	"[x]atypical depression"	"depression"
"376691000006116"	"depression"	"depression"
"376711000006118"	"[x]depressive disorder nos"	"depression"
"376721000006114"	"depressive episode"	"depression"
"376741000006119"	"[x]depressive neurosis"	"depression"
"379771000006116"	"[x]endogenous depression with psychotic symptoms"	"depression"
"379781000006118"	"[x]endogenous depression without psychotic symptoms"	"depression"
"396081000006116"	"[x]major depression, recurrent without psychotic symptoms"	"depression"
"398561000006117"	"[x]mixed anxiety and depressive disorder"	"depression"
"398841000006119"	"[x]monopolar depression nos"	"depression"
"398851000006117"	"affective disorder"	"depression"
"399961000006118"	"depressive neurosis"	"depression"
"406881000000111"	"depression monitoring administration"	"depression"
"408521000000112"	"depression monitoring first letter"	"depression"
"408561000000116"	"depression monitoring third letter"	"depression"
"408581000000113"	"depression monitoring verbal invitation"	"depression"
"408601000000116"	"depression monitoring telephone invitation"	"depression"
"419841000006116"	"[x]persistant anxiety depression"	"depression"
"423611000006111"	"[x]prolonged single episode of reactive depression"	"depression"
"424531000006118"	"[x]recurr depress disorder cur epi severe without psyc sympt"	"depression"
"424541000006111"	"[x]recurr severe episodes/major depression+psychotic symptom"	"depression"
"424551000006113"	"[x]recurr severe episodes/psychogenic depressive psychosis"	"depression"
"424561000006110"	"[x]recurrent brief depressive episodes"	"depression"
"424571000006115"	"[x]recurrent depress disorder cur epi severe with psyc symp"	"depression"
"424631000006119"	"[x]recurrent episodes of depressive reaction"	"depression"
"424641000006112"	"[x]recurrent episodes of psychogenic depression"	"depression"
"424651000006114"	"[x]recurrent episodes of reactive depression"	"depression"
"424671000006116"	"[x]recurrent severe episodes of psychotic depression"	"depression"
"424681000006118"	"recurrent reactive depressive episodes, severe, with psychosis"	"depression"
"426891000006114"	"[x] single episode agitated depression without psychotic symptoms"	"depression"
"426911000006111"	"[x]single episode of depressive reaction"	"depression"
"426921000006115"	"[x]single episode of major depression and psychotic symptoms"	"depression"
"426931000006117"	"[x]single episode of masked depression nos"	"depression"
"426941000006110"	"[x]single episode of psychogenic depression"	"depression"
"426951000006112"	"[x]single episode of psychogenic depressive psychosis"	"depression"
"426961000006114"	"[x]single episode of psychotic depression"	"depression"
"426971000006119"	"[x]single episode of reactive depression"	"depression"
"426981000006116"	"[x]single episode of reactive depressive psychosis"	"depression"
"426991000006118"	"[x]single episode vital depression w'out psychotic symptoms"	"depression"
"432511000006119"	"[x]vital depression, recurrent without psychotic symptoms"	"depression"
"474171000006112"	"agitated depression"	"depression"
"488211000006112"	"mixed anxiety and depressive disorder"	"depression"
"525921000006119"	"brief depressive adjustment reaction"	"depression"
"613791000006115"	"depressive psychoses"	"depression"
"642461000006116"	"endogenous depression first episode"	"depression"
"675861000006113"	"reactive depression (situational)"	"depression"
"681801000000113"	"on full dose long term treatment for depression"	"depression"
"882401000006115"	"reactive (neurotic) depression"	"depression"
"882671000006112"	"depression"	"depression"
"882681000006110"	"depression nos"	"depression"
"882821000006110"	"moderate depression"	"depression"
"882831000006113"	"severe depression"	"depression"
"909681000006110"	"[rfc] depression"	"depression"
"915551000006115"	"geriatric depression scale - 9 points"	"depression"
"915561000006118"	"geriatric depression scale - 10 points"	"depression"
"915571000006113"	"geriatric depression scale - 11 points"	"depression"
"915581000006111"	"geriatric depression scale - 12 points"	"depression"
"915591000006114"	"geriatric depression scale - 13 points"	"depression"
"915601000006118"	"geriatric depression scale - 14 points"	"depression"
"915611000006115"	"geriatric depression scale - 15 points"	"depression"
"999901000006113"	"excepted from depression quality indicators - patient unsuitable"	"depression"
"999911000006111"	"excepted from depression quality indicators - informed dissent"	"depression"
"1650771000000113"	"suspected depression"	"depression"
"1680571000006118"	"on full dose long term treatment depression - enh serv admin"	"depression"
"1715181000006114"	"moderate major depression"	"depression"
"1715191000006112"	"severe major depression with psychotic features"	"depression"
"1715781000006110"	"severe major depression without psychotic features"	"depression"
"1755901000006112"	"[x]single major depressive episode, severe, with psychosis, psychosis in remission"	"depression"
"1755911000006110"	"[x]recurrent major depressive episodes, severe, with psychosis, psychosis in remission"	"depression"
"1823881000006110"	"depression confirmed"	"depression"
"1839561000006119"	"phq9 total score 10-14 (moderate depression)"	"depression"
"1839571000006114"	"phq9 total score 15-19 (moderately severe depression)"	"depression"
"1839581000006112"	"phq9 total score 20-27 (severe depression)"	"depression"
"1976021000006115"	"moderate depressive episode, without somatic syndrome"	"depression"
"1976051000006112"	"moderate depressive episode, with somatic syndrome"	"depression"
"1976211000006116"	"recurrent depressive disorder, current episode mild, without somatic syndrome"	"depression"
"1976231000006110"	"recurrent depressive disorder, current episode mild, with somatic syndrome"	"depression"
"1976251000006115"	"recurrent depressive disorder, current episode moderate, without somatic syndrome"	"depression"
"1976271000006113"	"recurrent depressive disorder, current episode moderate, with somatic syndrome"	"depression"
"1976371000006116"	"other single mood affective disorders, mixed affective episode"	"depression"
"1976411000006115"	"other recurrent mood affective disorders, recurrent brief depressive disorder"	"depression"
"1976491000006113"	"mixed anxiety and depressive reaction"	"depression"
"2370061000000111"	"referral for depression self-help video"	"depression"
"2391541000000115"	"referral for guided self-help for depression declined"	"depression"
"2540711000006115"	"chronic recurrent major depressive disorder"	"depression"
"2724681000006112"	"chronic major depressive disorder, single episode"	"depression"
"2729751000000118"	"recurrent depression with current severe episode and psychotic features"	"depression"
"2729991000000112"	"recurrent depression with current severe episode without psychotic features"	"depression"
"2730011000000110"	"recurrent depression with current moderate episode"	"depression"
"2798691000006112"	"moderate recurrent major depression"	"depression"
"2821731000006115"	"severe major depression, single episode, with psychotic features, mood-incongruent"	"depression"
"2957311000006113"	"severe recurrent major depression with psychotic features"	"depression"
"2993091000006116"	"major depression in partial remission"	"depression"
"3033261000006113"	"recurrent major depression in partial remission"	"depression"
"3042901000006110"	"severe major depression with psychotic features, mood-congruent"	"depression"
"3071791000006111"	"depressive illness"	"depression"
"3071801000006112"	"depressed"	"depression"
"3087971000006112"	"severe recurrent major depression without psychotic features"	"depression"
"3094951000006111"	"major depressive disorder, single episode"	"depression"
"3140411000006112"	"recurrent major depressive disorder with catatonic features"	"depression"
"3149661000006117"	"mild recurrent major depression"	"depression"
"3153071000006116"	"recurrent brief depressive disorder"	"depression"
"3190221000006112"	"major depression in remission"	"depression"
"3192061000006110"	"major depressive disorder, single episode with atypical features"	"depression"
"3286331000006115"	"minor depressive disorder"	"depression"
"3531371000006112"	"major depression in complete remission"	"depression"
"3531381000006110"	"major depression in full remission"	"depression"
"3537261000006119"	"major depressive disorder, single episode with melancholic features"	"depression"
"3578851000006118"	"recurrent major depression"	"depression"
"3578861000006116"	"recurrent major depressive disorder"	"depression"
"3606411000006115"	"recurrent major depression in remission"	"depression"
"3628471000006116"	"major depressive disorder, single episode with catatonic features"	"depression"
"3700911000006115"	"psychotic depression"	"depression"
"3743451000006110"	"severe major depression, single episode, without psychotic features"	"depression"
"3767531000006119"	"severe major depression, single episode, with psychotic features, mood-congruent"	"depression"
"4539951000006117"	"history of depressive disorder"	"depression"
"4539971000006110"	"history of depression"	"depression"
"5024071000006118"	"anxiety depression"	"depression"
"5247381000006117"	"depressive delusion of catastrophe"	"depression"
"5247411000006119"	"depressive hypochondriacal delusion"	"depression"
"5248911000006110"	"depression worse in morning"	"depression"
"5248931000006116"	"depression worse later in day"	"depression"
"5359021000006116"	"depression"	"depression"
"6000711000006112"	"moderate depression"	"depression"
"6337491000006116"	"major depressive disorder"	"depression"
"6337501000006112"	"major depression"	"depression"
"7127651000006115"	"severe major depression, single episode, with psychotic features"	"depression"
"7127661000006118"	"major depressive disorder, single episode, severe with psychotic features"	"depression"
"7382291000006112"	"severe major depression"	"depression"
"7483151000006113"	"suspected depressive disorder"	"depression"
"7515151000006115"	"depressive disorder in remission"	"depression"
"7695931000006118"	"acute depression"	"depression"
"7788651000006116"	"moderately severe major depression"	"depression"
"7788661000006119"	"moderately severe depression"	"depression"
"7803701000006116"	"moderately severe recurrent major depression"	"depression"
"7803711000006118"	"moderately severe major depression single episode"	"depression"
"7803731000006112"	"minimal major depression single episode"	"depression"
"7882721000006118"	"major depression with psychotic features"	"depression"
"7965191000006118"	"severe recurrent major depression"	"depression"
"8089301000006110"	"reactive depressive psychosis, single episode"	"depression"
"8214741000006117"	"depression monitoring invitation"	"depression"
"8232571000006118"	"single major depressive episode, severe, with psychosis, psychosis in remission"	"depression"
"8232591000006117"	"recurrent major depressive episodes, severe, with psychosis, psychosis in remission"	"depression"
"8237831000006115"	"recurrent major depressive episodes, in partial remission"	"depression"
"8237841000006113"	"recurrent major depressive episodes, in remission"	"depression"
"8237851000006110"	"single major depressive episode, in remission"	"depression"
"8245201000006115"	"depression care management"	"depression"
"8308801000006112"	"did not attend depression review"	"depression"
"8459471000006114"	"depression monitoring invitation email"	"depression"
"8459491000006110"	"depression monitoring invitation sms (short message service) text message"	"depression"
"8465321000006112"	"reactive depression, prolonged single episode"	"depression"
"8465361000006118"	"reactive depression, first episode"	"depression"
"9901261000006114"	"moderate major depressive disorder co-occurrent with anxiety single episode"	"depression"
"9901281000006116"	"severe major depressive disorder co-occurrent with anxiety single episode"	"depression"
"12127541000006115"	"recurrent severe major depressive disorder co-occurrent with anxiety"	"depression"
"12127551000006118"	"recurrent moderate major depressive disorder co-occurrent with anxiety"	"depression"
"12127561000006116"	"recurrent major depressive disorder co-occurrent with anxiety in full remission"	"depression"
"12127571000006111"	"recurrent major depressive disorder in partial remission co-occurrent with anxiety"	"depression"
"13974501000006115"	"depressive episode"	"depression"
"13974511000006117"	"episode of depression"	"depression"
"14452211000006113"	"treatment resistant depression"	"depression"
"14452261000006111"	"persistent depressive disorder"	"depression"
