"medcode"	"term"	"group"	"database"
"1975571000006115"	"Simple schizophrenia, incomplete remission"	"schizophrenia"	"Aurum"
"1975601000006110"	"Simple schizophrenia, complete remission"	"schizophrenia"	"Aurum"
"1975621000006117"	"Acute polymorphic psychot disord without symp of schizoph, without associated acute stress"	"other psychosis"	"Aurum"
"1975641000006112"	"Simple schizophrenia, course uncertain, period of observation too short"	"schizophrenia"	"Aurum"
"1975671000006116"	"Acute polymorphic psychot disord without symp of schizoph, with associated acute stress"	"other psychosis"	"Aurum"
"1975681000006118"	"Acute polymorphic psychot disord with symp of schizophren, without associated acute stress"	"other psychosis"	"Aurum"
"1975691000006115"	"Acute polymorphic psychot disord with symp of schizophren, with associated acute stress"	"other psychosis"	"Aurum"
"1975711000006117"	"Acute schizophrenia-like psychotic disorder, without associated acute stress"	"other psychosis"	"Aurum"
"1975731000006111"	"Acute schizophrenia-like psychotic disorder, with associated acute stress"	"other psychosis"	"Aurum"
"1975751000006116"	"Other schizophrenia, continuous"	"schizophrenia"	"Aurum"
"1975761000006119"	"Other acute predominantly delusional psychotic disorders, without associated acute stress"	"other psychosis"	"Aurum"
"1975771000006114"	"Other schizophrenia, episodic with progressive deficit"	"schizophrenia"	"Aurum"
"1975781000006112"	"Other acute predominantly delusional psychotic disorders, with associated acute stress"	"other psychosis"	"Aurum"
"1975801000006111"	"Other schizophrenia, episodic with stable deficit"	"schizophrenia"	"Aurum"
"1975821000006118"	"Other acute and transient psychotic disorders, without associated acute stress"	"other psychosis"	"Aurum"
"1975831000006115"	"Other schizophrenia, episodic remittent"	"schizophrenia"	"Aurum"
"1975841000006113"	"Other schizophrenia, incomplete remission"	"schizophrenia"	"Aurum"
"1975851000006110"	"Other acute and transient psychotic disorders, with associated acute stress"	"other psychosis"	"Aurum"
"1975871000006117"	"Acute and transient psychotic disorder, unspecified, without associated acute stress"	"other psychosis"	"Aurum"
"1975881000006119"	"Other schizophrenia, complete remission"	"schizophrenia"	"Aurum"
"1975901000006117"	"Acute and transient psychotic disorder, unspecified, with associated acute stress"	"other psychosis"	"Aurum"
"1975911000006119"	"Other schizophrenia, course uncertain, period of observation too short"	"schizophrenia"	"Aurum"
"1975931000006113"	"Bipolar affect disorder cur epi mild or moderate depressn, without somatic syndrome"	"bipolar"	"Aurum"
"1975941000006115"	"Bipolar affect disorder cur epi mild or moderate depressn, with somatic syndrome"	"bipolar"	"Aurum"
"1976001000006113"	"Schizophrenia, unspecified, continuous"	"schizophrenia"	"Aurum"
"1976061000006114"	"Schizophrenia, unspecified, episodic with progressive deficit"	"schizophrenia"	"Aurum"
"1976101000006112"	"Schizophrenia, unspecified, episodic with stable deficit"	"schizophrenia"	"Aurum"
"1976121000006119"	"Schizophrenia, unspecified, episodic remittent"	"schizophrenia"	"Aurum"
"1976141000006114"	"Schizophrenia, unspecified, incomplete remission"	"schizophrenia"	"Aurum"
"1976151000006111"	"Schizophrenia, unspecified, complete remission"	"schizophrenia"	"Aurum"
"1976171000006118"	"Schizophrenia, unspecified, course uncertain, period of observation too short"	"schizophrenia"	"Aurum"
"1976371000006116"	"Other single mood affective disorders, mixed affective episode"	"other psychosis"	"Aurum"
"1976881000006112"	"Paranoid schizophrenia, other"	"schizophrenia"	"Aurum"
"1976891000006110"	"Hebephrenic schizophrenia, other"	"schizophrenia"	"Aurum"
"1976901000006114"	"Catatonic schizophrenia, other"	"schizophrenia"	"Aurum"
"1976911000006112"	"Undifferentiated schizophrenia, other"	"schizophrenia"	"Aurum"
"1976921000006116"	"Post-schizophrenic depression, other"	"other psychosis"	"Aurum"
"1976931000006118"	"Residual schizophrenia, other"	"schizophrenia"	"Aurum"
"1976941000006111"	"Simple schizophrenia, other"	"schizophrenia"	"Aurum"
"1976951000006113"	"Other schizophrenia, other"	"schizophrenia"	"Aurum"
"1976961000006110"	"Schizophrenia, unspecified, other"	"schizophrenia"	"Aurum"
"2501991000006111"	"Paranoid reaction"	"other psychosis"	"Aurum"
"2502001000006113"	"Persecutory delusion"	"other psychosis"	"Aurum"
"2531671000006114"	"Delusional thoughts"	"other psychosis"	"Aurum"
"2531681000006112"	"Delusional ideas"	"other psychosis"	"Aurum"
"2586801000006115"	"Brief psychotic disorder"	"other psychosis"	"Aurum"
"2632941000006110"	"Delusion of infidelity"	"other psychosis"	"Aurum"
"2632951000006112"	"Delusional jealousy"	"other psychosis"	"Aurum"
"2717981000006118"	"MDI - Manic-depressive illness"	"bipolar"	"Aurum"
"2729641000006117"	"Severe bipolar I disorder, single manic episode without psychotic features"	"bipolar"	"Aurum"
"2730051000000114"	"Mania with mood-congruent psychotic features"	"bipolar"	"Aurum"
"2730071000000117"	"Mania with mood-incongruent psychotic features"	"bipolar"	"Aurum"
"2730091000000118"	"Mania with psychotic features"	"bipolar"	"Aurum"
"2730111000000111"	"Acute predominantly delusional psychotic disorder"	"other psychosis"	"Aurum"
"2782051000006112"	"Bipolar I disorder, most recent episode manic with catatonic features"	"bipolar"	"Aurum"
"2924901000006115"	"Severe bipolar disorder with psychotic features, mood-incongruent"	"bipolar"	"Aurum"
"2960491000006119"	"Severe manic bipolar I disorder with psychotic features"	"bipolar"	"Aurum"
"2960501000006110"	"Severe bipolar I disorder, most recent episode manic, with psychotic features"	"bipolar"	"Aurum"
"2976051000006113"	"Chronic undifferentiated schizophrenia"	"schizophrenia"	"Aurum"
"3000261000006112"	"Schizoptypal disorder"	"other psychosis"	"Aurum"
"3005591000006114"	"Disorganised schizophrenia in remission"	"schizophrenia"	"Aurum"
"3006671000006118"	"Bipolar I disorder, most recent episode hypomanic"	"bipolar"	"Aurum"
"3036131000006117"	"Somatic delusion disorder"	"other psychosis"	"Aurum"
"3036141000006110"	"Somatic delusion"	"other psychosis"	"Aurum"
"3068121000006112"	"Disorganised schizophrenia"	"schizophrenia"	"Aurum"
"3116711000006110"	"Involutional paraphrenia"	"other psychosis"	"Aurum"
"3118041000006112"	"Schizoaffective disorder, bipolar type"	"other psychosis"	"Aurum"
"3137261000006111"	"Undifferentiated schizophrenia in remission"	"schizophrenia"	"Aurum"
"3169541000006113"	"Mild bipolar I disorder, single manic episode"	"bipolar"	"Aurum"
"3174001000006110"	"Severe bipolar I disorder, single manic episode with psychotic features"	"bipolar"	"Aurum"
"3175731000006118"	"Amok"	"other psychosis"	"Aurum"
"3224371000006115"	"Capgras' syndrome"	"other psychosis"	"Aurum"
"3224381000006117"	"Delusional misidentification syndrome"	"other psychosis"	"Aurum"
"3224391000006119"	"Capgras syndrome"	"other psychosis"	"Aurum"
"3245481000006112"	"Catatonic stupor"	"other psychosis"	"Aurum"
"3267191000006117"	"Grandiose delusion disorder"	"other psychosis"	"Aurum"
"3318441000006110"	"Thought insertion"	"other psychosis"	"Aurum"
"3328681000006114"	"Residual schizophrenia in remission"	"schizophrenia"	"Aurum"
"3361131000006115"	"Delusion of guilt"	"other psychosis"	"Aurum"
"3369281000006111"	"Depressed bipolar I disorder in remission"	"bipolar"	"Aurum"
"3468391000006115"	"Severe bipolar I disorder, most recent episode depressed with psychotic features"	"bipolar"	"Aurum"
"3504721000006117"	"Induced psychotic disorder"	"other psychosis"	"Aurum"
"3504731000006119"	"Folie à deux"	"other psychosis"	"Aurum"
"3504751000006114"	"Induced psychosis"	"other psychosis"	"Aurum"
"3504791000006115"	"Induced paranoid disorder"	"other psychosis"	"Aurum"
"3527411000006119"	"Paranoid schizophrenia, in remission"	"schizophrenia"	"Aurum"
"3527771000006116"	"Bouffée délirante"	"other psychosis"	"Aurum"
"3549101000006116"	"Delusional perception"	"other psychosis"	"Aurum"
"3555731000006114"	"Paraphrenic schizophrenia"	"schizophrenia"	"Aurum"
"3595611000006115"	"Delusional conclusion"	"other psychosis"	"Aurum"
"3615761000006116"	"Manic bipolar I disorder"	"bipolar"	"Aurum"
"3627341000006115"	"Psychosis"	"other psychosis"	"Aurum"
"3656651000006111"	"Chronic residual schizophrenia"	"schizophrenia"	"Aurum"
"3760411000006111"	"Jealous delusion disorder"	"other psychosis"	"Aurum"
"3788101000006118"	"Chronic undifferentiated schizophrenia with acute exacerbations"	"schizophrenia"	"Aurum"
"3846961000006111"	"Bizarre delusion"	"other psychosis"	"Aurum"
"3854401000006113"	"Bipolar 2 disorder"	"bipolar"	"Aurum"
"3862661000006112"	"Chronic schizophrenia"	"schizophrenia"	"Aurum"
"3886291000006119"	"Bipolar disorder, in remission"	"bipolar"	"Aurum"
"3895621000006112"	"Subchronic undifferentiated schizophrenia"	"schizophrenia"	"Aurum"
"3946141000006118"	"Schizophreniform disorder"	"other psychosis"	"Aurum"
"3956691000006118"	"Persecutory delusion disorder"	"other psychosis"	"Aurum"
"3959871000006110"	"Delusion of parasitosis"	"other psychosis"	"Aurum"
"4082931000006110"	"Schizophrenic reaction"	"other psychosis"	"Aurum"
"4196201000006119"	"Mixed bipolar I disorder in full remission"	"bipolar"	"Aurum"
"4539931000006112"	"History of schizophrenia"	"schizophrenia"	"Aurum"
"4763641000006116"	"Acute exacerbation of chronic disorganised schizophrenia"	"schizophrenia"	"Aurum"
"4763791000006118"	"Chronic paranoid schizophrenia with acute exacerbation"	"schizophrenia"	"Aurum"
"4763891000006112"	"Subchronic schizoaffective schizophrenia"	"other psychosis"	"Aurum"
"4763911000006114"	"Acute exacerbation of subchronic schizoaffective schizophrenia"	"other psychosis"	"Aurum"
"4763921000006118"	"Acute exacerbation of chronic schizoaffective schizophrenia"	"other psychosis"	"Aurum"
"4764391000006115"	"Paranoia"	"other psychosis"	"Aurum"
"4767311000006117"	"Bipolar affective disorder, current episode mixed"	"bipolar"	"Aurum"
"4941461000006118"	"Paranoid delusion"	"other psychosis"	"Aurum"
"5023391000006116"	"Reactive psychosis"	"other psychosis"	"Aurum"
"5023901000006110"	"Post-schizophrenic depression"	"schizophrenia"	"Aurum"
"5023961000006111"	"Manic"	"bipolar"	"Aurum"
"5128631000006110"	"Cutaneous monosymptomatic delusional psychosis"	"other psychosis"	"Aurum"
"5128641000006117"	"Delusions of parasitosis"	"other psychosis"	"Aurum"
"5128651000006115"	"Delusions of infestation"	"other psychosis"	"Aurum"
"5128661000006118"	"Delusion of foul odour"	"other psychosis"	"Aurum"
"5128691000006114"	"Delusional hyperhidrosis"	"other psychosis"	"Aurum"
"5247171000006117"	"Delusion of grandiose ability"	"other psychosis"	"Aurum"
"5247181000006119"	"Delusion of grandiose identity"	"other psychosis"	"Aurum"
"5247201000006118"	"Religious delusion"	"other psychosis"	"Aurum"
"5247211000006115"	"Delusional mood"	"other psychosis"	"Aurum"
"5247231000006114"	"Delusion associated with smell"	"other psychosis"	"Aurum"
"5247261000006117"	"Delusion of depersonalisation"	"other psychosis"	"Aurum"
"5247281000006110"	"Nihilistic delusion"	"other psychosis"	"Aurum"
"5247401000006117"	"Hypochondriacal delusion"	"other psychosis"	"Aurum"
"5247421000006110"	"Delusion of replacement of will by external force"	"other psychosis"	"Aurum"
"5248961000006113"	"Schizophrenic prodrome"	"other psychosis"	"Aurum"
"5435901000006117"	"Bipolar"	"bipolar"	"Aurum"
"5517971000006118"	"Mixed schizophrenic and affective psychosis"	"other psychosis"	"Aurum"
"5568191000006118"	"Acute polymorphic psychotic disorder"	"other psychosis"	"Aurum"
"5582571000006113"	"Primary delusions"	"other psychosis"	"Aurum"
"5582581000006111"	"Delusional memories"	"other psychosis"	"Aurum"
"5614121000006115"	"Involutional paranoid state"	"other psychosis"	"Aurum"
"5614141000006110"	"Delusional dysmorphophobia"	"other psychosis"	"Aurum"
"5624451000006114"	"Psychotic symptom finding"	"other psychosis"	"Aurum"
"5645621000006116"	"De Clerambault's syndrome"	"other psychosis"	"Aurum"
"5649431000006118"	"Hypomanic mood"	"bipolar"	"Aurum"
"5688901000006116"	"Hypomanic behaviour"	"bipolar"	"Aurum"
"5688911000006118"	"Hypomanic behavior"	"bipolar"	"Aurum"
"5688921000006114"	"Manic behaviour"	"bipolar"	"Aurum"
"5688931000006112"	"Manic behavior"	"bipolar"	"Aurum"
"5699381000006117"	"Delusion of unworthiness"	"other psychosis"	"Aurum"
"5718641000006117"	"Level of psychoticism"	"other psychosis"	"Aurum"
"5933701000006116"	"Profile of mood states, bipolar"	"bipolar"	"Aurum"
"5934531000006116"	"Delusional transference"	"other psychosis"	"Aurum"
"6357571000006119"	"Bipolar 1 disorder"	"bipolar"	"Aurum"
"6890801000006117"	"Late onset schizophrenia"	"schizophrenia"	"Aurum"
"7018741000006112"	"Delusion of pregnancy"	"other psychosis"	"Aurum"
"7515091000006113"	"Delusional disorder in remission"	"other psychosis"	"Aurum"
"7696261000006113"	"Acute polymorphic psychotic disorder with symptoms of schizophrenia"	"other psychosis"	"Aurum"
"7849081000006116"	"Bipolar type I disorder currently in full remission"	"bipolar"	"Aurum"
"7860771000006118"	"Positive symptoms with primary psychotic disorder"	"other psychosis"	"Aurum"
"7860791000006117"	"Negative symptoms with primary psychotic disorder"	"other psychosis"	"Aurum"
"7860831000006112"	"Manic symptoms with primary psychotic disorder"	"other psychosis"	"Aurum"
"8041781000006111"	"Rapid cycling bipolar I disorder"	"bipolar"	"Aurum"
"8110251000006118"	"Interpretation of delusions"	"other psychosis"	"Aurum"
"8232521000006119"	"Paranoid state in remission"	"other psychosis"	"Aurum"
"8232541000006114"	"Non-organic psychosis in remission"	"other psychosis"	"Aurum"
"8235161000006110"	"Mixed bipolar affective disorder, in partial remission"	"bipolar"	"Aurum"
"8237821000006118"	"Recurrent manic episodes, in remission"	"bipolar"	"Aurum"
"8237871000006117"	"Single manic episode in remission"	"bipolar"	"Aurum"
"9326201000006116"	"Psychosis in pregnancy"	"other psychosis"	"Aurum"
"12059201000006117"	"Bipolar disorder, most recent episode depression"	"bipolar"	"Aurum"
"12059211000006119"	"Bipolar disorder, most recent episode manic"	"bipolar"	"Aurum"
"12059221000006110"	"Bipolar affective disorder, most recent episode mixed"	"bipolar"	"Aurum"
"12059241000006115"	"Bipolar I disorder, most recent episode manic"	"bipolar"	"Aurum"
"12480451000006112"	"[X]Schizophrenia, schizotypal and delusional disorders"	"other psychosis"	"Aurum"
"12736721000006110"	"FEP - first episode psychosis"	"other psychosis"	"Aurum"
"13911951000006118"	"Rapid cycling bipolar II disorder"	"bipolar"	"Aurum"
"14472391000006111"	"Acute psychosis"	"other psychosis"	"Aurum"
"14745451000006113"	"Early onset schizophrenia"	"schizophrenia"	"Aurum"
"14767591000006117"	"Delusion of emitting foul body odour"	"other psychosis"	"Aurum"
"14795681000006111"	"Psychotic disorder with insight present"	"other psychosis"	"Aurum"
"138421012"	"agitated depression"	"depression"	"Aurum"
"251629019"	"h/o: depression"	"depression"	"Aurum"
"253619019"	"o/e - depressed"	"depression"	"Aurum"
"294824018"	"single major depressive episode, unspecified"	"depression"	"Aurum"
"294826016"	"moderate major depression, single episode"	"depression"	"Aurum"
"294828015"	"single major depressive episode, severe, with psychosis"	"depression"	"Aurum"
"294831019"	"single episode of major depression in full remission"	"depression"	"Aurum"
"294832014"	"single major depressive episode nos"	"depression"	"Aurum"
"294836012"	"recurrent major depressive episodes, unspecified"	"depression"	"Aurum"
"294837015"	"recurrent major depressive episodes, mild"	"depression"	"Aurum"
"294838013"	"recurrent major depressive episodes, moderate"	"depression"	"Aurum"
"294840015"	"recurrent major depressive episodes, severe, with psychosis"	"depression"	"Aurum"
"294843018"	"recurrent major depression in full remission"	"depression"	"Aurum"
"294844012"	"recurrent depression"	"depression"	"Aurum"
"294845013"	"recurrent major depressive episode nos"	"depression"	"Aurum"
"294894013"	"atypical depressive disorder"	"depression"	"Aurum"
"294917018"	"reactive depressive psychosis"	"depression"	"Aurum"
"294918011"	"psychotic reactive depression"	"depression"	"Aurum"
"295494011"	"brief depressive reaction nos"	"depression"	"Aurum"
"295535012"	"depressive disorder"	"depression"	"Aurum"
"295537016"	"chronic depression"	"depression"	"Aurum"
"296138013"	"[x]moderate depressive episode"	"depression"	"Aurum"
"296180012"	"[x]recurrent depressive disorder, current episode mild"	"depression"	"Aurum"
"296181011"	"[x]recurrent depressive disorder, current episode moderate"	"depression"	"Aurum"
"296198011"	"[x]recurrent depressive disorder, currently in remission"	"depression"	"Aurum"
"296199015"	"[x]other recurrent depressive disorders"	"depression"	"Aurum"
"296207019"	"[x]other persistent mood affective disorders"	"depression"	"Aurum"
"296208012"	"[x]persistent mood affective disorder, unspecified"	"depression"	"Aurum"
"296209016"	"[x]other mood affective disorders"	"depression"	"Aurum"
"296218019"	"[x]other specified mood affective disorders"	"depression"	"Aurum"
"346972018"	"endogenous depression first episode"	"depression"	"Aurum"
"346973011"	"masked depression"	"depression"	"Aurum"
"401766011"	"major depression, single episode"	"depression"	"Aurum"
"401866015"	"[x]severe depressive episode without psychotic symptoms"	"depression"	"Aurum"
"401869010"	"[x]severe depressive episode with psychotic symptoms"	"depression"	"Aurum"
"401871010"	"[x]other depressive episodes"	"depression"	"Aurum"
"401872015"	"[x]depressive episode, unspecified"	"depression"	"Aurum"
"401873013"	"[x]recurrent depressive disorder"	"depression"	"Aurum"
"401876017"	"[x]recurrent depressive disorder, unspecified"	"depression"	"Aurum"
"401877014"	"[x]other single mood affective disorders"	"depression"	"Aurum"
"401878016"	"[x]other recurrent mood affective disorders"	"depression"	"Aurum"
"401879012"	"[x]unspecified mood affective disorder"	"depression"	"Aurum"
"407062014"	"c/o - feeling depressed"	"depression"	"Aurum"
"410861011"	"endogenous depression - recurrent"	"depression"	"Aurum"
"441826016"	"endogenous depression"	"depression"	"Aurum"
"460274011"	"history of affective disorder"	"depression"	"Aurum"
"1488626018"	"symptoms of depression"	"depression"	"Aurum"
"1494612017"	"depressive symptoms"	"depression"	"Aurum"
"1773563015"	"depression management programme"	"depression"	"Aurum"
"2164005017"	"depressed mood"	"depression"	"Aurum"
"2164006016"	"depressed"	"depression"	"Aurum"
"2474715017"	"on depression register"	"depression"	"Aurum"
"2533375017"	"patient given advice about management of depression"	"depression"	"Aurum"
"2534091015"	"depression interim review"	"depression"	"Aurum"
"2534092010"	"depression medication review"	"depression"	"Aurum"
"2534096013"	"depression annual review"	"depression"	"Aurum"
"142521000006110"	"major depression single episode, in partial remission"	"depression"	"Aurum"
"142541000006115"	"severe major depression, single episode"	"depression"	"Aurum"
"182721000006111"	"recurrent major depressive episodes"	"depression"	"Aurum"
"182771000006112"	"recurrent major depressive episodes, severe"	"depression"	"Aurum"
"182801000006114"	"recurrent major depressive episodes,partial/unspec remission"	"depression"	"Aurum"
"202561000006114"	"prolonged depressive adjustment reaction"	"depression"	"Aurum"
"223741000000112"	"severe depression"	"depression"	"Aurum"
"226411000000110"	"depression enhanced services administration"	"depression"	"Aurum"
"226581000000119"	"depression enhanced service completed"	"depression"	"Aurum"
"294081000000110"	"exception reporting - depression quality indicators"	"depression"	"Aurum"
"294621000000118"	"depression resolved"	"depression"	"Aurum"
"300711000000119"	"referral for guided self-help for depression"	"depression"	"Aurum"
"359121000006116"	"reactive depression"	"depression"	"Aurum"
"366561000006119"	"[x]atypical depression"	"depression"	"Aurum"
"376691000006116"	"depression"	"depression"	"Aurum"
"376711000006118"	"[x]depressive disorder nos"	"depression"	"Aurum"
"376721000006114"	"depressive episode"	"depression"	"Aurum"
"376741000006119"	"[x]depressive neurosis"	"depression"	"Aurum"
"379771000006116"	"[x]endogenous depression with psychotic symptoms"	"depression"	"Aurum"
"379781000006118"	"[x]endogenous depression without psychotic symptoms"	"depression"	"Aurum"
"396081000006116"	"[x]major depression, recurrent without psychotic symptoms"	"depression"	"Aurum"
"398561000006117"	"[x]mixed anxiety and depressive disorder"	"depression"	"Aurum"
"398841000006119"	"[x]monopolar depression nos"	"depression"	"Aurum"
"398851000006117"	"affective disorder"	"depression"	"Aurum"
"399961000006118"	"depressive neurosis"	"depression"	"Aurum"
"406881000000111"	"depression monitoring administration"	"depression"	"Aurum"
"408521000000112"	"depression monitoring first letter"	"depression"	"Aurum"
"408561000000116"	"depression monitoring third letter"	"depression"	"Aurum"
"408581000000113"	"depression monitoring verbal invitation"	"depression"	"Aurum"
"408601000000116"	"depression monitoring telephone invitation"	"depression"	"Aurum"
"419841000006116"	"[x]persistant anxiety depression"	"depression"	"Aurum"
"423611000006111"	"[x]prolonged single episode of reactive depression"	"depression"	"Aurum"
"424531000006118"	"[x]recurr depress disorder cur epi severe without psyc sympt"	"depression"	"Aurum"
"424541000006111"	"[x]recurr severe episodes/major depression+psychotic symptom"	"depression"	"Aurum"
"424551000006113"	"[x]recurr severe episodes/psychogenic depressive psychosis"	"depression"	"Aurum"
"424561000006110"	"[x]recurrent brief depressive episodes"	"depression"	"Aurum"
"424571000006115"	"[x]recurrent depress disorder cur epi severe with psyc symp"	"depression"	"Aurum"
"424631000006119"	"[x]recurrent episodes of depressive reaction"	"depression"	"Aurum"
"424641000006112"	"[x]recurrent episodes of psychogenic depression"	"depression"	"Aurum"
"424651000006114"	"[x]recurrent episodes of reactive depression"	"depression"	"Aurum"
"424671000006116"	"[x]recurrent severe episodes of psychotic depression"	"depression"	"Aurum"
"424681000006118"	"recurrent reactive depressive episodes, severe, with psychosis"	"depression"	"Aurum"
"426891000006114"	"[x] single episode agitated depression without psychotic symptoms"	"depression"	"Aurum"
"426911000006111"	"[x]single episode of depressive reaction"	"depression"	"Aurum"
"426921000006115"	"[x]single episode of major depression and psychotic symptoms"	"depression"	"Aurum"
"426931000006117"	"[x]single episode of masked depression nos"	"depression"	"Aurum"
"426941000006110"	"[x]single episode of psychogenic depression"	"depression"	"Aurum"
"426951000006112"	"[x]single episode of psychogenic depressive psychosis"	"depression"	"Aurum"
"426961000006114"	"[x]single episode of psychotic depression"	"depression"	"Aurum"
"426971000006119"	"[x]single episode of reactive depression"	"depression"	"Aurum"
"426981000006116"	"[x]single episode of reactive depressive psychosis"	"depression"	"Aurum"
"426991000006118"	"[x]single episode vital depression w'out psychotic symptoms"	"depression"	"Aurum"
"432511000006119"	"[x]vital depression, recurrent without psychotic symptoms"	"depression"	"Aurum"
"474171000006112"	"agitated depression"	"depression"	"Aurum"
"488211000006112"	"mixed anxiety and depressive disorder"	"depression"	"Aurum"
"525921000006119"	"brief depressive adjustment reaction"	"depression"	"Aurum"
"613791000006115"	"depressive psychoses"	"depression"	"Aurum"
"642461000006116"	"endogenous depression first episode"	"depression"	"Aurum"
"675861000006113"	"reactive depression (situational)"	"depression"	"Aurum"
"681801000000113"	"on full dose long term treatment for depression"	"depression"	"Aurum"
"882401000006115"	"reactive (neurotic) depression"	"depression"	"Aurum"
"882671000006112"	"depression"	"depression"	"Aurum"
"882681000006110"	"depression nos"	"depression"	"Aurum"
"882821000006110"	"moderate depression"	"depression"	"Aurum"
"882831000006113"	"severe depression"	"depression"	"Aurum"
"909681000006110"	"[rfc] depression"	"depression"	"Aurum"
"915551000006115"	"geriatric depression scale - 9 points"	"depression"	"Aurum"
"915561000006118"	"geriatric depression scale - 10 points"	"depression"	"Aurum"
"915571000006113"	"geriatric depression scale - 11 points"	"depression"	"Aurum"
"915581000006111"	"geriatric depression scale - 12 points"	"depression"	"Aurum"
"915591000006114"	"geriatric depression scale - 13 points"	"depression"	"Aurum"
"915601000006118"	"geriatric depression scale - 14 points"	"depression"	"Aurum"
"915611000006115"	"geriatric depression scale - 15 points"	"depression"	"Aurum"
"999901000006113"	"excepted from depression quality indicators - patient unsuitable"	"depression"	"Aurum"
"999911000006111"	"excepted from depression quality indicators - informed dissent"	"depression"	"Aurum"
"1650771000000113"	"suspected depression"	"depression"	"Aurum"
"1680571000006118"	"on full dose long term treatment depression - enh serv admin"	"depression"	"Aurum"
"1715181000006114"	"moderate major depression"	"depression"	"Aurum"
"1715191000006112"	"severe major depression with psychotic features"	"depression"	"Aurum"
"1715781000006110"	"severe major depression without psychotic features"	"depression"	"Aurum"
"1755901000006112"	"[x]single major depressive episode, severe, with psychosis, psychosis in remission"	"depression"	"Aurum"
"1755911000006110"	"[x]recurrent major depressive episodes, severe, with psychosis, psychosis in remission"	"depression"	"Aurum"
"1823881000006110"	"depression confirmed"	"depression"	"Aurum"
"1839561000006119"	"phq9 total score 10-14 (moderate depression)"	"depression"	"Aurum"
"1839571000006114"	"phq9 total score 15-19 (moderately severe depression)"	"depression"	"Aurum"
"1839581000006112"	"phq9 total score 20-27 (severe depression)"	"depression"	"Aurum"
"1976021000006115"	"moderate depressive episode, without somatic syndrome"	"depression"	"Aurum"
"1976051000006112"	"moderate depressive episode, with somatic syndrome"	"depression"	"Aurum"
"1976211000006116"	"recurrent depressive disorder, current episode mild, without somatic syndrome"	"depression"	"Aurum"
"1976231000006110"	"recurrent depressive disorder, current episode mild, with somatic syndrome"	"depression"	"Aurum"
"1976251000006115"	"recurrent depressive disorder, current episode moderate, without somatic syndrome"	"depression"	"Aurum"
"1976271000006113"	"recurrent depressive disorder, current episode moderate, with somatic syndrome"	"depression"	"Aurum"
"1976371000006116"	"other single mood affective disorders, mixed affective episode"	"depression"	"Aurum"
"1976411000006115"	"other recurrent mood affective disorders, recurrent brief depressive disorder"	"depression"	"Aurum"
"1976491000006113"	"mixed anxiety and depressive reaction"	"depression"	"Aurum"
"2370061000000111"	"referral for depression self-help video"	"depression"	"Aurum"
"2391541000000115"	"referral for guided self-help for depression declined"	"depression"	"Aurum"
"2540711000006115"	"chronic recurrent major depressive disorder"	"depression"	"Aurum"
"2724681000006112"	"chronic major depressive disorder, single episode"	"depression"	"Aurum"
"2729751000000118"	"recurrent depression with current severe episode and psychotic features"	"depression"	"Aurum"
"2729991000000112"	"recurrent depression with current severe episode without psychotic features"	"depression"	"Aurum"
"2730011000000110"	"recurrent depression with current moderate episode"	"depression"	"Aurum"
"2798691000006112"	"moderate recurrent major depression"	"depression"	"Aurum"
"2821731000006115"	"severe major depression, single episode, with psychotic features, mood-incongruent"	"depression"	"Aurum"
"2957311000006113"	"severe recurrent major depression with psychotic features"	"depression"	"Aurum"
"2993091000006116"	"major depression in partial remission"	"depression"	"Aurum"
"3033261000006113"	"recurrent major depression in partial remission"	"depression"	"Aurum"
"3042901000006110"	"severe major depression with psychotic features, mood-congruent"	"depression"	"Aurum"
"3071791000006111"	"depressive illness"	"depression"	"Aurum"
"3071801000006112"	"depressed"	"depression"	"Aurum"
"3087971000006112"	"severe recurrent major depression without psychotic features"	"depression"	"Aurum"
"3094951000006111"	"major depressive disorder, single episode"	"depression"	"Aurum"
"3140411000006112"	"recurrent major depressive disorder with catatonic features"	"depression"	"Aurum"
"3149661000006117"	"mild recurrent major depression"	"depression"	"Aurum"
"3153071000006116"	"recurrent brief depressive disorder"	"depression"	"Aurum"
"3190221000006112"	"major depression in remission"	"depression"	"Aurum"
"3192061000006110"	"major depressive disorder, single episode with atypical features"	"depression"	"Aurum"
"3286331000006115"	"minor depressive disorder"	"depression"	"Aurum"
"3531371000006112"	"major depression in complete remission"	"depression"	"Aurum"
"3531381000006110"	"major depression in full remission"	"depression"	"Aurum"
"3537261000006119"	"major depressive disorder, single episode with melancholic features"	"depression"	"Aurum"
"3578851000006118"	"recurrent major depression"	"depression"	"Aurum"
"3578861000006116"	"recurrent major depressive disorder"	"depression"	"Aurum"
"3606411000006115"	"recurrent major depression in remission"	"depression"	"Aurum"
"3628471000006116"	"major depressive disorder, single episode with catatonic features"	"depression"	"Aurum"
"3700911000006115"	"psychotic depression"	"depression"	"Aurum"
"3743451000006110"	"severe major depression, single episode, without psychotic features"	"depression"	"Aurum"
"3767531000006119"	"severe major depression, single episode, with psychotic features, mood-congruent"	"depression"	"Aurum"
"4539951000006117"	"history of depressive disorder"	"depression"	"Aurum"
"4539971000006110"	"history of depression"	"depression"	"Aurum"
"5024071000006118"	"anxiety depression"	"depression"	"Aurum"
"5247381000006117"	"depressive delusion of catastrophe"	"depression"	"Aurum"
"5247411000006119"	"depressive hypochondriacal delusion"	"depression"	"Aurum"
