"medcode"	"term"
"111347"	"joint consultn pracse nurse & comm diabetes specialist nurse"
"111483"	"diabetic on insulin and glucagon-like peptide 1"
"111798"	"type ii diabetes mellitus with exudative maculopathy"
"112365"	"[x]pre-existing diabetes mellitus, unspecified"
"112402"	"other specified diabetes mellitus with periph circ comps"
"113115"	"maturity onset diabetes of the young type 5"
"113197"	"type 1 diabetes mellitus with nephropathy"
"113495"	"type ii diabetes mellitus with multiple complications"
"113594"	"diabetes distress scale 2 item"
"113609"	"type ii diabetes mellitus with gastroparesis"
"113661"	"has diabetes identity card"
"113762"	"provision of written information about diabetes & hypertensn"
"113796"	"joint consultation gp & community diabetes specialist nurse"
"113863"	"type i diabetes mellitus with nephropathy"
"113975"	"type i diabetes mellitus with polyneuropathy"
"114401"	"type 1 diabetes mellitus with gangrene"
"114439"	"malnutrition-related diabetes mellitus with renal complicatn"
"115319"	"referral to online diabetes structured education programme"
"115410"	"type i diabetes mellitus with gangrene"
"115541"	"malnutrition-related diabetes mellitus wth neuro complicatns"
"115855"	"malnutrition-related diabetes mellitus without complications"
