prodcode	productname
77291	Gliclazide 80mg tablets (Kent Pharma (UK) Ltd)
13819	Hypurin Porcine Isophane 100units/ml suspension for injection 1.5ml cartridges (C P Pharmaceuticals Ltd)
18931	Insulin zinc crystalline human 100units/ml suspension for injection 10ml vials
63107	Pioglitazone 45mg tablets (Waymade Healthcare Plc)
17076	Omnican 100 hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm needle 0.3mm/30gauge (B.Braun Medical Ltd)
86083	Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Spirit Healthcare Ltd)
11321	NovoNorm 1mg tablets (Novo Nordisk Ltd)
71430	Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc)
60750	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge
68289	Glimepiride 4mg tablets (Waymade Healthcare Plc)
76533	Insulin lispro Sanofi 100units/ml solution for injection 10ml vials (Sanofi)
71020	Acarbose 50mg tablets (Actavis UK Ltd)
35081	OptiClik hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Grey (Sanofi)
63307	Metformin 1g/5ml oral solution
22060	Insulin 0.5 0.5ml Syringe
71781	Gliclazide 40mg tablets (Teva UK Ltd)
54885	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32gauge
73285	Metformin 500mg tablets (Waymade Healthcare Plc)
34135	Metformin 500mg Tablet (M & A Pharmachem Ltd)
50970	Metformin 500mg tablets (Bristol Laboratories Ltd)
51107	Hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units
43953	Insulin lispro biphasic 25/75 100units/ml suspension for injection 10ml vials
18461	Insulin zinc mixed human 100units/ml suspension for injection 10ml vials
14362	Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices
1842	Pork velosulin 100unit/ml Injection (Novo Nordisk Ltd)
5421	NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Novo Nordisk Ltd)
13277	Mixtard 50 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)
25636	Libanil 2.5mg Tablet (Approved Prescription Services Ltd)
65059	Xigduo 5mg/850mg tablets (AstraZeneca UK Ltd)
59133	BD SafetyGlide hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm safety needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)
7393	Insulin glargine 100units/ml solution for injection 3ml cartridges
54265	Dapagliflozin 5mg tablets
5873	BD Micro-Fine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Becton, Dickinson UK Ltd)
67428	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (A. Menarini Diagnostics Ltd)
75823	Gliclazide 40mg tablets (Waymade Healthcare Plc)
27501	Orabet 500mg Tablet (Lagap)
31474	Libanil 5mg Tablet (Approved Prescription Services Ltd)
51743	NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc)
14925	Insulin isophane human vial 100unit/ml Sterile suspension injection
87852	Glyxambi 25mg/5mg tablets (Boehringer Ingelheim Ltd)
23099	Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml pre-filled disposable devices
82201	Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Spirit Healthcare Ltd)
5164	NovoPen 3 Demi hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units (Novo Nordisk Ltd)
7537	Humulin Zn 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)
44738	Niddaryl 1mg tablets (Dee Pharmaceuticals Ltd)
5989	Nateglinide 180mg tablets
40425	Nazdol MR 30mg tablets (Teva UK Ltd)
50124	Januvia 25mg tablets (Merck Sharp & Dohme (UK) Ltd)
74392	Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pens (Lexon (UK) Ltd)
11408	Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd)
58798	GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (GlucoRx Ltd)
82985	Sitagliptin 50mg/5ml oral suspension
72852	Gliclazide 40mg tablets (Accord-UK Ltd)
14270	Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)
25735	Insulin isophane biphasic human 20/80 100units/ml suspension for injection 3ml cartridges
19658	Glurenorm 30mg tablets (Sanofi)
26784	INSULIN ZINC SEMILENTE SUSP BP 100 I/U INJ
72695	Metformin 500mg Tablet (Celltech Pharma Europe Ltd)
54442	Metformin (roi) 1000mg Tablet
82172	Lyumjev KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)
60643	Xigduo 5mg/1000mg tablets (AstraZeneca UK Ltd)
12654	Insulin soluble human prb 100unit/ml Injection
47856	Neuphane 100unit/ml Injection (Wellcome Medical Division)
55729	Lyxumia 20micrograms/0.2ml solution for injection 3ml pre-filled pens (Sanofi)
5557	NovoPen 3 Fun hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units Blue (Novo Nordisk Ltd)
9503	Hypurin Bovine Protamine Zinc 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd)
30686	Insulin isophane porcine 100units/ml suspension for injection 3ml cartridges
73254	Yaltormin SR 1000mg tablets (Wockhardt UK Ltd)
30918	ABCare hypodermic U100 insulin syringe glass reusable 0.5ml (Rand Rocket Ltd)
87341	Metformin 1g/5ml oral solution sugar free (Colonis Pharma Ltd)
88993	Sitagliptin 25mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd)
60328	Alogliptin 12.5mg tablets
35143	NovoFine Autocover hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Novo Nordisk Ltd)
24866	INSULIN INSULATARD (LEO RETARD) 40 I/U INJ
21590	Insulin glulisine 100units/ml solution for injection 3ml pre-filled disposable devices
79372	Glibenclamide 5mg Tablet (Celltech Pharma Europe Ltd)
15624	INSULIN ISOPHANE (HIGHLY PURIFIED) 100 I/U INJ
10243	Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)
10175	Insulin isophane human 100units/ml suspension for injection 1.5ml cartridges
24800	Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd)
61845	NovoRapid PumpCart 100units/ml solution for injection 1.6ml cartridges (Novo Nordisk Ltd)
11345	Bd Ultra Pen 3ml Insulin pen (Becton, Dickinson UK Ltd)
66136	Glucophage SR 1000mg tablets (Waymade Healthcare Plc)
81111	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm safety needle 0.33mm/29gauge (Covidien (UK) Commercial Ltd)
66316	Lantus 100units/ml solution for injection 10ml vials (Mawdsley-Brooks & Company Ltd)
5501	Insuman basal 100iu/ml Injection (Aventis Pharma)
54028	Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge (Owen Mumford Ltd)
11366	NovoNorm 2mg tablets (Novo Nordisk Ltd)
34504	Metformin 500mg tablets (Wockhardt UK Ltd)
56639	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Blue (Eli Lilly and Company Ltd)
67414	Mylife Clickfine AutoProtect hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Ypsomed Ltd)
60497	Alogliptin 12.5mg / Metformin 1g tablets
48771	Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Owen Mumford Ltd)
79694	Human Mixtard 10 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd)
88758	Metformin 500mg tablets (Ipca Laboratories UK Ltd)
58878	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge
89656	Metformin 500mg modified-release tablets (Brown & Burk UK Ltd)
63336	Trulicity 1.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)
46666	NovoRapid FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)
76942	Needle free Insulin delivery system
19878	Insulin isophane biphasic human 30/70 100units/ml suspension for injection 3ml pre-filled disposable devices
7332	Amaryl 1mg tablets (Zentiva Pharma UK Ltd)
79127	4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge (Nipro Diagnostics (UK) Ltd)
9105	Glucobay 100mg tablets (Bayer Plc)
58449	Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Owen Mumford Ltd)
3439	Penmix 10/90 Pen (Novo Nordisk Ltd)
62951	Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Owen Mumford Ltd)
38808	NovoPen 4 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Silver (Novo Nordisk Ltd)
16044	Glucophage SR 500mg tablets (Merck Serono Ltd)
67313	NovoRapid 100units/ml solution for injection 10ml vials (Sigma Pharmaceuticals Plc)
63474	NeedleBay Fine Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Diabetes Care Technology Ltd)
79700	Insuman Comb 15 100units/ml suspension for injection 5ml vials (Aventis Pharma)
47588	Insulin 1ml click count
63152	TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Owen Mumford Ltd)
4784	Lentard mc 100unit/ml Injection (Novo Nordisk Ltd)
75938	Ozempic 0.5mg/0.37ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)
41834	Insulin zinc suspension lente 100iu/ml Injection (Celltech Pharma Europe Ltd)
1843	Pork Insulatard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)
4129	Insulin soluble porcine 100units/ml solution for injection 1.5ml cartridges
1840	Humulin s 100unit/ml Injection (Eli Lilly and Company Ltd)
15294	Innovo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-70 units Green (Novo Nordisk Ltd)
81428	Sukkarto SR 750mg tablets (Morningside Healthcare Ltd)
29939	Gliclazide 80mg tablets (Viatris UK Healthcare Ltd)
10244	Mixtard 40 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)
1839	INSULIN HUMULIN I (ISOPHANE) 100 I/U INJ
13108	Autopen Special Edition hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd)
7763	INSULIN NEUPHANE (ISOPHANE)(PURIFIED) 100 I/U INJ
8895	Initard 50/50 100unit/ml Injection (Novo Nordisk Ltd)
78537	Metformin 850mg/5ml oral suspension
46458	Exenatide 2mg powder and solvent for prolonged-release suspension for injection vials
13969	U100 Insulin syringe 0.3ml
18220	Pioglitazone 15mg / Metformin 850mg tablets
1643	INSULIN NOVO MONOTARD MC 100 I/U INJ
35022	Sitagliptin 100mg tablets
51955	Gliclazide 80mg tablets (Accord-UK Ltd)
13837	Insulin biphasic isophane human prb 10:90; 100 units/ml Injection
57388	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm safety needle 0.3mm/30gauge (Covidien (UK) Commercial Ltd)
74389	Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc)
30460	Malix 5mg Tablet (Lagap)
91131	GlucoRx Dual-Safe Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (GlucoRx Ltd)
31466	Exubera insulin release unit (Pfizer Ltd)
33232	Insulin isophane biphasic human 50/50 100units/ml suspension for injection 5ml vials
63464	Humalog KwikPen 200units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)
67266	Mixtard 50 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)
89476	Wegovy FlexTouch 2.4mg/0.75ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)
65057	Empagliflozin 5mg / Metformin 1g tablets
28185	Insulin lispro biphasic 25/75 100units/ml suspension for injection 3ml cartridges
55723	Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices and Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices
14340	Hypurin Bovine Isophane 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd)
15199	Insuman comb 25 100iu/ml Injection (Aventis Pharma)
86484	Humalog Tempo Pen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)
20422	Insuman comb 15 100iu/ml Injection (Aventis Pharma)
7203	Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Owen Mumford Ltd)
60379	Invokana 300mg tablets (A. Menarini Farmaceutica Internazionale SRL)
37875	Vildagliptin 50mg tablets
69562	Neon Verifine Safety hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Neon Diagnostics Ltd)
21374	Insulin biphasic isophane human prb 40:60; 100 units/ml Injection
74845	Humulin I 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc)
67781	Gliclazide 80mg tablets (Milpharm Ltd)
88597	Lamzarin 60mg modified-release tablets (Key Pharmaceuticals Ltd)
89056	Gliclazide 80mg tablets (Zentiva Pharma UK Ltd)
1805	Mixtard 30/70 100unit/ml Injection (Novo Nordisk Ltd)
90720	Steglatro 15mg tablets (Merck Sharp & Dohme (UK) Ltd)
22974	Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 8mm/31gauge
83088	Glucorex SR 500mg tablets (GlucoRx Ltd)
65432	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (A. Menarini Diagnostics Ltd)
7402	Lantus 100units/ml solution for injection 10ml vials (Sanofi)
88019	Sitagliptin 100mg/5ml oral solution sugar free
36146	Insulin lispro biphasic 50/50 100units/ml suspension for injection 3ml cartridges
3076	NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/30gauge (Novo Nordisk Ltd)
64217	Jardiance 25mg tablets (Boehringer Ingelheim Ltd)
19877	Insulin aspart 100units/ml solution for injection 3ml pre-filled disposable devices
45158	Insuman Comb 15 100units/ml suspension for injection 3ml cartridges (Sanofi)
64743	Canagliflozin 50mg / Metformin 850mg tablets
74388	Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc)
91455	Rybelsus 7mg tablets (Pharmaram Ltd)
73460	Metformin 500mg/5ml oral solution sugar free (Accord-UK Ltd)
53437	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge
7300	Mixtard 30 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)
60621	Hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units
33674	Metformin 850mg tablets (A A H Pharmaceuticals Ltd)
31077	Competact 15mg/850mg tablets (Neon Healthcare Ltd)
20287	Actos 15mg tablets (Neon Healthcare Ltd)
12299	Semitard mc 100unit/ml Injection (Novo Nordisk Ltd)
13331	Euglucon 5mg tablets (Sanofi)
57153	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm safety needle 0.3mm/30gauge (Covidien (UK) Commercial Ltd)
18645	INSULIN NEUTRAL (PURIFIED) 100 I/U INJ
22806	INSULIN PORK ACTRAPID
35078	Optipen pro 1 blue insulin pen 3ml/1-60 units 3ml/1-60 units Insulin pen (Aventis Pharma)
89369	Wegovy FlexTouch 0.5mg/0.37ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)
5316	Glimepiride 4mg tablets
89231	Tirzepatide 2.5mg/0.5ml solution for injection pre-filled disposable devices
64939	Glucient SR 1000mg tablets (Consilient Health Ltd)
68744	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Neon Diagnostics Ltd)
75700	Metformin 500mg/5ml oral solution sugar free (Waymade Healthcare Plc)
5742	Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Owen Mumford Ltd)
55270	Duformin 500mg Tablet (Dumex Ltd)
7793	HumaJect M3 Pen 100units/ml suspension for injection (Eli Lilly and Company Ltd)
32053	INSULIN HUMALOG MIX 25
22094	INSULIN HUMULIN M2 VIAL
4247	Insulin isophane porcine 100units/ml suspension for injection 1.5ml cartridges
56624	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm safety needle 0.3mm/30gauge (Covidien (UK) Commercial Ltd)
56785	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Red (Eli Lilly and Company Ltd)
8841	Humulin M5 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)
74842	Humulin M3 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd)
90254	Mounjaro KwikPen 7.5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)
1886	Insulatard 100iu/ml GE injection (Novo Nordisk Ltd)
26621	Insulin soluble human crb 100iu/ml Injection
4093	Humulin M2 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)
64021	GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (GlucoRx Ltd)
60286	Metformin 500mg/5ml oral suspension
11990	Metformin 500mg/5ml oral solution sugar free
7772	Human protaphane 100unit/ml Injection (Novo Nordisk Ltd)
82855	Metformin 500mg modified-release tablets (Medihealth (Northern) Ltd)
34836	Metformin 850mg tablets (Actavis UK Ltd)
1595	Insulatard NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)
56115	Human Actrapid Penfill 100units/ml solution for injection 1.5ml cartridges (Novo Nordisk Ltd)
57493	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Silver (Eli Lilly and Company Ltd)
11610	Metformin with rosiglitazone 500mg + 2mg Tablet
62276	Humulin R 500units/ml solution for injection 20ml vials (Imported (United States))
43270	Metformin 500mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)
15951	Autopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd)
81864	Metformin 500mg modified-release tablets (Morningside Healthcare Ltd)
76163	Lantus 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc)
84547	Unifine SafeControl Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Owen Mumford Ltd)
55462	Tresiba FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)
37055	Comfort Point hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.33mm/29gauge (GlucoRx Ltd)
46989	Metabet SR 1000mg tablets (Morningside Healthcare Ltd)
85945	Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens (CST Pharma Ltd)
10184	Insulin detemir 100 iu/ml Solution for injection
71118	Insulatard 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc)
12892	Clinipak u100 single use ins syr+12mm need28g 0.5ml [rand] 0.5ml Insulin syringe with 28gauge needle 12mm (Rand Rocket Ltd)
12638	Insulin soluble human pyr 100unit/ml Injection
46001	Insuman Basal 100units/ml suspension for injection 3ml pre-filled SoloStar pens (Sanofi)
73282	Humalog Junior KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)
36920	Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi)
77284	Insulin isophane human 100iu/ml Injection
72559	Human Insulatard Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd)
79140	GlucoRx Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge (GlucoRx Ltd)
33562	Duclazide 80mg Tablet (Dumex Ltd)
17712	Hypurin Bovine Lente 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd)
72001	Metformin 1g modified-release tablets (DE Pharmaceuticals)
14357	Humulin I 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)
68867	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge (Neon Diagnostics Ltd)
11717	Rosiglitazone 2mg / Metformin 1g tablets
79854	Pioglitazone 15mg tablets (Accord-UK Ltd)
2456	Mixtard 10 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)
17643	Autopen Special Edition hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units (Owen Mumford Ltd)
48829	NovoPen Echo hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units Blue (Novo Nordisk Ltd)
75778	Metformin 500mg tablets (Crescent Pharma Ltd)
71340	Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)
4706	Velosulin 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)
44378	Insulin isophane biphasic human 25/75 100units/ml suspension for injection 3ml pre-filled disposable devices
71550	Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (B.Braun Medical Ltd)
14933	Hypurin Porcine Isophane 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd)
66855	Empagliflozin 12.5mg / Metformin 850mg tablets
9662	Avandia 4mg tablets (GlaxoSmithKline UK Ltd)
36959	GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge (GlucoRx Ltd)
10264	Humalog Pen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)
53148	Hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
12035	Insulin zinc mixed bovine 100units/ml suspension for injection 10ml vials
14944	Humulin S 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)
89021	Sitagliptin 100mg tablets (Dr Reddy's Laboratories (UK) Ltd)
15961	Insulin isophane human crb 100iu/ml Injection
67056	Amaryl 1mg tablets (Lexon (UK) Ltd)
65611	JuniorSTAR hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units Red (Sanofi)
43619	Metformin 1g / Sitagliptin 50mg tablets
8168	Diabinese 250mg Tablet (Pfizer Ltd)
52445	Linagliptin 2.5mg / Metformin 1g tablets
7959	INSULIN MIXTARD 30/70 40 I/U INJ
9521	Pork Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)
57622	Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc)
49831	Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Necessity Supplies Ltd)
68203	Metformin 500mg modified-release tablets (Almus Pharmaceuticals Ltd)
56939	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Pink (Eli Lilly and Company Ltd)
27614	Penmix 30/70 100iu/ml Injection (Novo Nordisk Ltd)
13274	Clinipak u100 single use ins syr+12mm need28g 1ml [rand] 1ml Insulin syringe with 28gauge needle 12mm (Rand Rocket Ltd)
63562	Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices
69823	Fiasp FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)
12455	Rastinon 500mg Tablet (Hoechst Marion Roussel)
27402	Insulin soluble human 100units/ml solution for injection 10ml vials
33673	Tolbutamide 500mg tablets (Actavis UK Ltd)
48435	BD AutoShield hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/29gauge (Becton, Dickinson UK Ltd)
85064	Metformin 500mg modified-release tablets (A A H Pharmaceuticals Ltd)
21347	Penmix 40/60 100iu/ml Injection (Novo Nordisk Ltd)
35561	Prandin 2mg tablets (Novo Nordisk Ltd)
89876	Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)
56502	Actrapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)
19491	Apidra 100units/ml solution for injection 10ml vials (Sanofi)
47074	Gliclazide 80mg/5ml oral suspension
43489	BD Micro-Fine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Becton, Dickinson UK Ltd)
69885	Pioglitazone 30mg tablets (Krka UK Ltd)
45775	Saxagliptin 2.5mg tablets
74051	Onglyza 5mg tablets (Sigma Pharmaceuticals Plc)
9079	INSULIN SOLUBLE 100 I/U INJ
80215	Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge (Owen Mumford Ltd)
58579	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32.5gauge
83236	4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Nipro Diagnostics (UK) Ltd)
9565	HumaJect S Pen 100units/ml solution for injection (Eli Lilly and Company Ltd)
10245	Mixtard 10 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)
64495	TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Owen Mumford Ltd)
82258	Rybelsus 3mg tablets (Novo Nordisk Ltd)
64622	Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials (Lexon (UK) Ltd)
14299	Insulin glulisine 100units/ml solution for injection 3ml cartridges
90129	Mounjaro KwikPen 5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)
3396	Penmix 10/90 Penfill (Novo Nordisk Ltd)
20196	INSULIN SOLUBLE 40 I/U INJ
31467	Exubera 3mg inhalation powder blisters (Pfizer Ltd)
69459	Alogliptin 25mg tablets (Ennogen Healthcare Ltd)
19513	Humulin M3 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)
47360	Neutral insulin 100unit/ml Injection (Celltech Pharma Europe Ltd)
62014	Glimepiride 2mg tablets (Accord-UK Ltd)
9108	TOLBUTAMIDE 250 MG TAB
73892	Metformin 500mg tablets (Relonchem Ltd)
26795	SYRINGE INSULIN DISPOSABLE
21235	Humulin S 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd)
11946	Tolbutamide 50mg/ml Injection
47894	Nazdol MR 30mg tablets (Krka UK Ltd)
37617	Rosiglitazone 2mg tablet
45831	Dacadis MR 30mg tablets (Viatris UK Healthcare Ltd)
39006	Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)
84216	PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge (Prosum Medical Ltd)
2455	Mixtard 20 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)
1253	Chlorpropamide 100mg tablets
39988	Metformin 500mg oral powder sachets sugar free
84743	Metformin Oral solution
51612	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/29gauge
19271	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge
46665	Linagliptin 5mg tablets
25786	GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (GlucoRx Ltd)
43950	Humulin I KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)
71012	Metformin 500mg tablets (Phoenix Healthcare Distribution Ltd)
16959	Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.3mm/30gauge
2808	INSULIN LENTARD INJ
8390	Gliquidone 30mg tablets
81073	Victoza 6mg/ml solution for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd)
18224	Humalog 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd)
