"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"Antidiabetic"
"14506"	"INSULIN BOVINE PROTAMINE ZINC 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"14619"	"Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 1.5ml cartridges"	"Insulin"	"70unit/1ml + 30unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"00000000"	"Insulin"
"14642"	"Bd m 0.3ml Insulin syringe with 29gauge needle 12mm (Becton, Dickinson UK Ltd)"	"Insulin"	"0.3ml"	"Insulin Syringe With 29gauge Needle 12mm"	NA	"06010103"	"Insulin"
"14644"	"Insulin biphasic isophane human prb 20:80; 100 units/ml Injection"	"Insulin"	"20:80; 100 Units/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"14646"	"Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm needle 0.33mm/29gauge"	"Insulin"	"0.3ml"	"Insulin Syringe With 12mm Needle(29g)"	NA	"71190300"	"Insulin"
"14649"	"Insulin biphasic isophane human pyr 10:90; 100 units/ml Injection"	"Insulin"	"10:90; 100 Units/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"14887"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge"	"Insulin"	"5mm/31gauge"	"Hypodermic Needle"	NA	"71190600"	"Insulin"
"14918"	"Humulin I 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"14925"	"Insulin isophane human vial 100unit/ml Sterile suspension injection"	"Insulin"	"100unit/ml"	"Sterile Suspension Injection"	"Subcutaneous Injection"	"06010102"	"Insulin"
"14928"	"Insulatard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"14930"	"Hypurin Porcine Neutral 100units/ml solution for injection 3ml cartridges (Wockhardt UK Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intramuscular/Intravenous/Subcutaneous"	"06010101/06010300"	"Insulin"
"14933"	"Hypurin Porcine Isophane 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous/Intramuscular"	"06010102"	"Insulin"
"14938"	"Insulin soluble bovine cartridge 100unit/ml Solution for injection"	"Insulin"	"100unit/ml"	"Solution For Injection"	"Subcutaneous Injection"	"06010101/06010300"	"Insulin"
"14944"	"Humulin S 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"15040"	"INSULIN MONOPHANE (ISOPHANE) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"15199"	"Insuman comb 25 100iu/ml Injection (Aventis Pharma)"	"Insulin"	"100iu/ml"	"Injection"	"Subcutaneous Injection"	"06010102"	"Insulin"
"15232"	"Avandia 8mg tablets (GlaxoSmithKline UK Ltd)"	"Rosiglitazone"	"8mg"	"Tablet"	"Oral"	"00000000"	"Rosiglitazone"
"15294"	"Innovo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-70 units Green (Novo Nordisk Ltd)"	"Insulin"	"3ml/1-70 Units"	"Insulin Pen"	NA	"00000000"	"Insulin"
"15374"	"Gliclazide 40mg/5ml oral suspension"	"Gliclazide"	"8mg/1ml"	"Oral suspension"	"Oral"	"06010201"	"Gliclazide"
"15484"	"Insulin isophane bovine 100units/ml suspension for injection 1.5ml cartridges"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"00000000"	"Insulin"
"15624"	"INSULIN ISOPHANE (HIGHLY PURIFIED) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"15710"	"Insulin soluble human emp 100unit/ml Injection"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"06010101/06010300"	"Insulin"
"15895"	"Innovo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-70 units Orange (Novo Nordisk Ltd)"	"Insulin"	"3ml/1-70 Units"	"Insulin Pen"	NA	"00000000"	"Insulin"
"15951"	"Autopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd)"	"Insulin"	"3ml/1-21 Units"	"Insulin Pen"	NA	"00000000"	"Insulin"
"15955"	"Starlix 120mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Nateglinide"	"120mg"	"Tablet"	"Oral"	"06010203"	"Nateglinide"
"15961"	"Insulin isophane human crb 100iu/ml Injection"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"16044"	"Glucophage SR 500mg tablets (Merck Serono Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"16129"	"Insulin soluble human 100units/ml solution for injection 3ml cartridges"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"16142"	"Insulin aspart 100units/ml solution for injection 3ml cartridges"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"16152"	"Insulin isophane biphasic human 30/70 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"16160"	"Humulin M3 Pen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"00000000"	"Insulin"
"16209"	"INSULIN HYPURIN SOLUBLE 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"16211"	"TOLBUTAMIDE 100 MG TAB"	"Tolbutamide"	NA	"Tablet"	"Oral"	"00000000"	"Tolbutamide"
"16213"	"METFORMIN 250 MG TAB"	"Metformin"	NA	"Tablet"	"Oral"	"00000000"	"Metformin"
"16389"	"Myjector hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.33mm/29gauge (Terumo UK Ltd)"	"Insulin"	"1ml/u100"	"Insulin Syringe With 12mm Needle(29g)"	NA	"71190300"	"Insulin"
"16602"	"Calabren 2.5mg Tablet (Berk Pharmaceuticals Ltd)"	"Glibenclamide"	"2.5mg"	"Tablet"	"Oral"	"06010201"	"Glibenclamide"
"16682"	"Tempulin 100unit/ml Injection (Knoll Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"16700"	"Insulin zinc mixed bovine vial 100unit/ml Sterile suspension injection"	"Insulin"	"100unit/ml"	"Sterile Suspension Injection"	"Subcutaneous Injection"	"06010102"	"Insulin"
"16866"	"Unifine hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm needle 0.33mm/29gauge (Owen Mumford Ltd)"	"Insulin"	"0.3ml"	"Insulin Syringe With 12mm Needle(29g)"	NA	"71190300"	"Insulin"
"16959"	"Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.3mm/30gauge"	"Insulin"	"1ml"	"Insulin Syringe With 12mm Needle(30g)"	NA	"71190300"	"Insulin"
"17076"	"Omnican 100 hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm needle 0.3mm/30gauge (B.Braun Medical Ltd)"	"Insulin"	"1ml/u100"	"Insulin Syringe With 8mm Needle(30g)"	NA	"71190300"	"Insulin"
"17336"	"Novopen 100unit/ml Injection device (Novo Nordisk Ltd)"	"Insulin"	"100unit/ml"	"Injection Device"	"Intramuscular"	"06010101/06010300"	"Insulin"
"17343"	"Gliclazide 80mg tablets (A A H Pharmaceuticals Ltd)"	"Gliclazide"	"80mg"	"Tablet"	"Oral"	"06010201"	"Gliclazide"
"17580"	"Avandamet 1mg/500mg tablets (GlaxoSmithKline UK Ltd)"	"Metformin/Rosiglitazone"	"1mg + 500mg"	"Tablet"	"Oral"	"00000000"	"Metformin/Rosiglitazone"
"17643"	"Autopen Special Edition hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units (Owen Mumford Ltd)"	"Insulin"	"3ml/2-42 Units"	"Insulin Pen"	NA	"00000000"	"Insulin"
"17698"	"Minodiab 5mg tablets (Pfizer Ltd)"	"Glipizide"	"5mg"	"Tablet"	"Oral"	"06010201"	"Glipizide"
"17706"	"Minodiab 2.5mg tablets (Pfizer Ltd)"	"Glipizide"	"2.5mg"	"Tablet"	"Oral"	"00000000"	"Glipizide"
"17712"	"Hypurin Bovine Lente 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"17731"	"Penmix 50/50 100iu/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"17809"	"Humaject m4 100iu/ml M4 pen (Eli Lilly and Company Ltd)"	"Insulin"	"100iu/ml"	"M4 Pen"	"Subcutaneous Injection"	"06010102"	"Insulin"
"18149"	"Monoject u100 insulin syringe 12mm(29g)0.5ml 12mm29G 0.5ml Insulin syringe (Covidien (UK) Commercial Ltd)"	"Insulin"	"12mm29g 0.5ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"18195"	"Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 6mm/31gauge"	"Insulin"	"6mm/31gauge"	"Hypodermic Needle"	NA	"71190700"	"Insulin"
"18208"	"Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 10mm/29gauge"	"Insulin"	"10mm/29gauge"	"Hypodermic Needle"	NA	"71190700"	"Insulin"
"18220"	"Pioglitazone 15mg / Metformin 850mg tablets"	"Metformin/Pioglitazone"	"850mg + 15mg"	"Tablet"	"Oral"	"06010203"	"Metformin/Pioglitazone"
"18224"	"Humalog 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"18301"	"INSULIN SOLUBLE INJ I/U^2"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"18446"	"Unifine hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.33mm/29gauge (Owen Mumford Ltd)"	"Insulin"	"1ml"	"Insulin Syringe With 12mm Needle(29g)"	NA	"71190300"	"Insulin"
"18461"	"Insulin zinc mixed human 100units/ml suspension for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"18590"	"Insulin isophane bovine 100units/ml suspension for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"06010102"	"Insulin"
"18592"	"Insulin soluble bovine 100units/ml solution for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"06010101/06010300"	"Insulin"
"18593"	"Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"18645"	"INSULIN NEUTRAL (PURIFIED) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"18931"	"Insulin zinc crystalline human 100units/ml suspension for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"19029"	"SYRINGE PRE-SET INSULIN FOR BLIND 2ML"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"19271"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge"	"Insulin"	"8mm/30gauge"	"Hypodermic Needle"	NA	"71190600"	"Insulin"
"19472"	"Actos 45mg tablets (Takeda UK Ltd)"	"Pioglitazone"	"45mg"	"Tablet"	"Oral"	"06010203"	"Pioglitazone"
"19491"	"Apidra 100units/ml solution for injection 10ml vials (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010101"	"Insulin"
"19513"	"Humulin M3 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"19707"	"INSULIN HUMULIN S (NEUTRAL SOLUBLE)"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"19829"	"INSULIN NOVO MONOTARD MC"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"19877"	"Insulin aspart 100units/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"19878"	"Insulin isophane biphasic human 30/70 100units/ml suspension for injection 3ml pre-filled disposable devices"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"06010151"	"Insulin"
"19977"	"Omnican 50 hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.3mm/30gauge (B.Braun Medical Ltd)"	"Insulin"	"0.5ml/u100"	"Insulin Syringe With 12mm Needle(30g)"	NA	"71190300"	"Insulin"
"20195"	"INSULIN BOVINE PROTAMINE ZINC 40 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"20196"	"INSULIN SOLUBLE 40 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"20287"	"Actos 15mg tablets (Takeda UK Ltd)"	"Pioglitazone"	"15mg"	"Tablet"	"Oral"	"06010203"	"Pioglitazone"
"20422"	"Insuman comb 15 100iu/ml Injection (Aventis Pharma)"	"Insulin"	"85unit/1ml + 15unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"20671"	"INSULIN HUM/ACTRAPHANE"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"20672"	"INSULIN HUM/ACTRAPID"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"20810"	"METFORMIN"	"Metformin"	NA	NA	NA	"00000000"	"Metformin"
"20889"	"Actos 30mg tablets (Takeda UK Ltd)"	"Pioglitazone"	"30mg"	"Tablet"	"Oral"	"06010203"	"Pioglitazone"
"20995"	"Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous/Intramuscular"	"06010151"	"Insulin"
"21110"	"Insulin biphasic isophane human prb 50:50; 100 units/ml Injection"	"Insulin"	"50:50; 100 Units/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"21223"	"U100 Insulin syringe 0.3ml"	"Insulin"	"0.3ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"21232"	"Insulin isophane biphasic human 30/70 100units/ml suspension for injection 10ml vials"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"21235"	"Humulin S 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"21347"	"Penmix 40/60 100iu/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"21374"	"Insulin biphasic isophane human prb 40:60; 100 units/ml Injection"	"Insulin"	"40:60; 100 Units/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"21395"	"Insulin biphasic isophane human pyr 40:60; 100 units/ml Injection"	"Insulin"	"40:60; 100 Units/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"21422"	"Insulin isophane biphasic human 40/60 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"40unit/1ml + 60unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"21424"	"Glibenclamide 5mg/5ml oral suspension"	"Glibenclamide"	"1mg/1ml"	"Oral suspension"	"Oral"	"06010201"	"Glibenclamide"
"21459"	"SYRINGE INSULIN U100 S/U+8MM NEEDLE"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"21554"	"Insuman comb 50 100iu/ml Injection (Aventis Pharma)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"21564"	"Gliclazide 80mg tablets (Wockhardt UK Ltd)"	"Gliclazide"	"80mg"	"Tablet"	"Oral"	"06010201"	"Gliclazide"
"21583"	"Apidra 100units/ml solution for injection 3ml pre-filled OptiSet pen (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010101"	"Insulin"
"21590"	"Insulin glulisine 100units/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010101"	"Insulin"
"21832"	"Diabetamide 5mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Glibenclamide"	"5mg"	"Tablet"	"Oral"	"06010201"	"Glibenclamide"
"21892"	"Diaglyk 80mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Gliclazide"	"80mg"	"Tablet"	"Oral"	"06010201"	"Gliclazide"
"21945"	"INSULIN PORK INSULATARD"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"22058"	"Pur-in mix 15/85 Injection (C P Pharmaceuticals Ltd)"	"Insulin"	NA	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"22060"	"Insulin 0.5 0.5ml Syringe"	"Insulin"	"0.5ml"	"Syringe"	NA	"59010200"	"Insulin"
"22094"	"INSULIN HUMULIN M2 VIAL"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"22155"	"Humaject m5 100iu/ml M5 pen (Eli Lilly and Company Ltd)"	"Insulin"	"100iu/ml"	"M5 Pen"	"Subcutaneous Injection"	"06010102"	"Insulin"
"22161"	"INSULIN HUMULIN M1 VIAL"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"22328"	"Unifine single use Insulin syringe with 30gauge needle 8mm 0.5ml (Owen Mumford Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe With 30gauge Needle 8mm"	NA	"06010103"	"Insulin"
"22496"	"INSULIN ZINC LENTE PURIFIED SUSPENSION"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"22614"	"DAONIL 10 MG TAB"	"Glibenclamide"	NA	"Tablet"	"Oral"	"00000000"	"Glibenclamide"
"22636"	"TOLBUTAMIDE 1 GM TAB"	"Tolbutamide"	NA	"Tablet"	"Oral"	"00000000"	"Tolbutamide"
"22697"	"Insulin isophane biphasic human 50/50 100units/ml suspension for injection 1.5ml cartridges"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"22806"	"INSULIN PORK ACTRAPID"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"22823"	"INSULIN ISOPHANE (PURIFIED) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"22945"	"Insuman rapid 100iu/ml Injection (Aventis Pharma)"	"Insulin"	"100iu/ml"	"Injection"	"Subcutaneous Injection"	"06010101/06010300"	"Insulin"
"22946"	"Omnican 100 hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.3mm/30gauge (B.Braun Medical Ltd)"	"Insulin"	"1ml/u100"	"Insulin Syringe With 12mm Needle(30g)"	NA	"71190300"	"Insulin"
"22974"	"Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 8mm/31gauge"	"Insulin"	"8mm/31gauge"	"Hypodermic Needle"	NA	"71190700"	"Insulin"
"22983"	"Insuman Rapid 100units/ml solution for injection 3ml cartridges (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"22987"	"Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 12mm/29gauge"	"Insulin"	"12mm/29gauge"	"Hypodermic Needle"	NA	"71190700"	"Insulin"
"23003"	"INSULIN ISOPHANE (NPH) 40 I/U"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"23099"	"Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml pre-filled disposable devices"	"Insulin"	"70unit/1ml + 30unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"23231"	"Hypurin Bovine Neutral 100units/ml solution for injection 3ml cartridges (Wockhardt UK Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous/Intramuscular/Intravenous"	"06010101/06010300"	"Insulin"
"23437"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/28gauge"	"Insulin"	"12mm/28gauge"	"Hypodermic Needle"	NA	"71190600"	"Insulin"
"23636"	"Insulin 1ml disposable syringe"	"Insulin"	"1ml"	"Syringe"	NA	"59010200"	"Insulin"
"23945"	"Starlix 60mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Nateglinide"	"60mg"	"Tablet"	"Oral"	"06010203"	"Nateglinide"
"23992"	"Insuman Basal 100units/ml suspension for injection 3ml pre-filled OptiSet pen (Sanofi)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"06010102"	"Insulin"
"23993"	"Insuman Rapid 100units/ml solution for injection 3ml pre-filled OptiSet pen (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"24002"	"Insuman Comb 25 100units/ml suspension for injection 5ml vials (Sanofi)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"24485"	"INSULIN ZINC ANIMAL SUSPENSION"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"24554"	"Unifine single use Insulin syringe with 30gauge needle 8mm 0.3ml (Owen Mumford Ltd)"	"Insulin"	"0.3ml"	"Insulin Syringe With 30gauge Needle 8mm"	NA	"06010103"	"Insulin"
"24593"	"Neutral insulin bovine 100unit/ml Injection"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"06010101/06010300"	"Insulin"
"24722"	"INSULIN ISOPHANE 50%/NEUTRAL 50% 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"24795"	"Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"24800"	"Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous/Intramuscular"	"06010151"	"Insulin"
"24845"	"INSULIN PUR-IN ISOPHANE 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"24846"	"Pur-in neutral 100unit/ml Injection (C P Pharmaceuticals Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"06010101/06010300"	"Insulin"
"24866"	"INSULIN INSULATARD (LEO RETARD) 40 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"24993"	"Insuman Comb 25 100units/ml suspension for injection 3ml cartridges (Sanofi)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"25006"	"INSULIN HUMAN ACTRAPID (NEUTRAL)"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"25133"	"Insuman Comb 25 100units/ml suspension for injection 3ml pre-filled OptiSet pen (Sanofi)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"25422"	"Hypoguard u100 click/count 1ml Insulin syringe (Hypoguard Ltd)"	"Insulin"	"1ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"25479"	"Insulin soluble porcine 100units/ml solution for injection 3ml cartridges"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intramuscular/Intravenous/Subcutaneous"	"06010101/06010300"	"Insulin"
"25636"	"Libanil 2.5mg Tablet (Approved Prescription Services Ltd)"	"Glibenclamide"	"2.5mg"	"Tablet"	"Oral"	"06010201"	"Glibenclamide"
"25678"	"Glucamet 500mg Tablet (Opus Pharmaceuticals Ltd)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"25735"	"Insulin isophane biphasic human 20/80 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"20unit/1ml + 80unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"25736"	"Insulin isophane biphasic human 10/90 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"10unit/1ml + 90unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"25786"	"GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (GlucoRx Ltd)"	"Insulin"	"6mm/31gauge"	"Pen Needle"	NA	"71190600"	"Insulin"
"25812"	"Insulin isophane human 100units/ml suspension for injection 3ml pre-filled disposable devices"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"06010102"	"Insulin"
"26060"	"Insulin lispro 100units/ml solution for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"26098"	"Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials (Wockhardt UK Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"06010101/06010300"	"Insulin"
"26218"	"Calabren 5mg Tablet (Berk Pharmaceuticals Ltd)"	"Glibenclamide"	"5mg"	"Tablet"	"Oral"	"06010201"	"Glibenclamide"
"26258"	"Glucamet 850mg Tablet (Opus Pharmaceuticals Ltd)"	"Metformin"	"850mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"26403"	"Pur-in mix 25/75 Injection (C P Pharmaceuticals Ltd)"	"Insulin"	NA	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"26498"	"Insulin zinc suspension mixed bovine and porcine 100unit/ml Injection"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"26621"	"Insulin soluble human crb 100iu/ml Injection"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"06010101/06010300"	"Insulin"
"26784"	"INSULIN ZINC SEMILENTE SUSP BP 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"26795"	"SYRINGE INSULIN DISPOSABLE"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"27125"	"Starlix 180mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Nateglinide"	"180mg"	"Tablet"	"Oral"	"06010203"	"Nateglinide"
