"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"bnftext"	"Antidiabetic"	"group"
"27969"	"Glymese 250mg Tablet (DDSA Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Chlorpropamide"	"250mg"	"Sulphonylureas"	"Chlorpropamide"	"Sulfonylureas"
"72163"	"Pioglitazone 45mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"45mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"	"Other"
"5022"	"NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/28gauge (Novo Nordisk Ltd)"	"Pen Needle"	NA	"Insulin"	"12mm/28gauge"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"15484"	"Insulin isophane bovine 100units/ml suspension for injection 1.5ml cartridges"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Unknown"	"Insulin"	"Insulin"
"87325"	"Glucophage SR 1000mg tablets (Pilsco Ltd)"	"Modified-release tablet"	"Oral"	"Metformin"	"1gram"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"64258"	"JuniorSTAR hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units Blue (Sanofi)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Reusable Pens"	"Insulin"	"Insulin"
"57387"	"Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm safety needle 0.33mm/29gauge (Covidien (UK) Commercial Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"	"Insulin"
"65587"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"18590"	"Insulin isophane bovine 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"38400"	"Glucophage SR 750mg tablets (Merck Serono Ltd)"	"Modified-release tablet"	"Oral"	"Metformin"	"750mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"74021"	"Metformin 250mg/5ml oral solution"	"Oral solution"	"Oral"	"Metformin"	"50mg/1ml"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"12818"	"Human Mixtard 50 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Unknown"	"Insulin"	"Insulin"
"58817"	"GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge (GlucoRx Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"17698"	"Minodiab 5mg tablets (Pfizer Ltd)"	"Oral tablet"	"Oral"	"Glipizide"	"5mg"	"Sulphonylureas"	"Glipizide"	"Sulfonylureas"
"48120"	"Avandia 2mg Tablet (GlaxoSmithKline UK Ltd)"	"Tablet"	"Oral"	"Rosiglitazone"	"2mg"	"Other Antidiabetic Products"	"Rosiglitazone"	"Other"
"74734"	"Metformin 850mg capsules"	"Oral capsule"	"Oral"	"Metformin"	"850mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"73303"	"Metformin 500mg/5ml oral solution sugar free (Colonis Pharma Ltd)"	"Oral solution"	"Oral"	"Metformin"	"100mg/1ml"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"35701"	"Insulin lispro biphasic 50/50 100units/ml suspension for injection 3ml pre-filled disposable devices"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"10001"	"Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"49451"	"Mylife Clickfine AutoProtect hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/29gauge (Ypsomed Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"7284"	"Amaryl 2mg tablets (Zentiva Pharma UK Ltd)"	"Oral tablet"	"Oral"	"Glimepiride"	"2mg"	"Sulphonylureas"	"Glimepiride"	"Sulfonylureas"
"21422"	"Insulin isophane biphasic human 40/60 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"40unit/1ml + 60unit/1ml"	"Unknown"	"Insulin"	"Insulin"
"69221"	"Metformin 1g oral powder sachets sugar free (J M McGill Ltd)"	"Powder for oral solution"	"Oral"	"Metformin"	"1gram"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"90065"	"Metformin 850mg/5ml oral solution sugar free (Medihealth (Northern) Ltd)"	"Oral solution"	"Oral"	"Metformin"	"170mg/1ml"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"35253"	"Insuman Comb 50 100units/ml suspension for injection 3ml cartridges (Sanofi)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
"7350"	"Insulin isophane porcine 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"57451"	"Microdot Droplet hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Cambridge Sensors Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"79955"	"IME-FINE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Arctic Medical Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"91306"	"Sitagliptin 100mg tablets (Amarox Ltd)"	"Oral tablet"	"Oral"	"Sitagliptin"	"100mg"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"	"DPP-4is"
"34706"	"Glibenclamide 2.5mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Oral tablet"	"Oral"	"Glibenclamide"	"2.5mg"	"Sulphonylureas"	"Glibenclamide"	"Sulfonylureas"
"31465"	"Exubera 1mg inhalation powder blisters (Pfizer Ltd)"	"Inhalation powder"	"Inhalation"	"Insulin"	"1mg"	"Unknown"	"Insulin"	"Insulin"
"45821"	"Onglyza 2.5mg tablets (AstraZeneca UK Ltd)"	"Oral tablet"	"Oral"	"Saxagliptin"	"2.5mg"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Saxagliptin"	"DPP-4is"
"73068"	"GreenFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Neon Diagnostics Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"66399"	"Glimepiride 2mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Glimepiride"	"2mg"	"Sulphonylureas"	"Glimepiride"	"Sulfonylureas"
"73676"	"GreenFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Neon Diagnostics Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"7062"	"Myjector hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.4mm/27gauge (Terumo UK Ltd)"	"Insulin Syringe With 12Mm Needle(27G)"	NA	"Insulin"	"1ml/U100"	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"	"Insulin"
"5850"	"Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 6mm/31gauge (Ypsomed Ltd)"	"Pen Needle"	NA	"Insulin"	"6mm/31gauge"	"Needle For Pre-Filled And Reusable Pen Injector-Snap On"	"Insulin"	"Insulin"
"28442"	"Insulin glulisine 100unit/ml Solution for injection"	"Solution For Injection"	"Intramuscular"	"Insulin"	"100unit/ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"55521"	"Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Spirit Healthcare Ltd)"	"Suppository"	"Rectal"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"16209"	"INSULIN HYPURIN SOLUBLE 100 I/U INJ"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"26498"	"Insulin zinc suspension mixed bovine and porcine 100unit/ml Injection"	"Injection"	"Intramuscular"	"Insulin"	"100unit/ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"25479"	"Insulin soluble porcine 100units/ml solution for injection 3ml cartridges"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"	"Insulin"
"59533"	"NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"42954"	"Insulin isophane biphasic human 25/75 100units/ml suspension for injection 5ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
"67267"	"Mixtard 30 InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc)"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Insulin"	"70unit/1ml + 30unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
"68896"	"Nanopass hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge (Terumo UK Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"11245"	"B-d u-100 0.3ml Insulin syringe (Becton, Dickinson UK Ltd)"	"Insulin Syringe"	NA	"Insulin"	"0.3ml"	"Diabetic Hypodermic Equipment"	"Insulin"	"Insulin"
"41559"	"Glibenclamide 5mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Glibenclamide"	"5mg"	"Sulphonylureas"	"Glibenclamide"	"Sulfonylureas"
"62605"	"Metformin 850mg tablets (Kent Pharma (UK) Ltd)"	"Oral tablet"	"Oral"	"Metformin"	"850mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"52442"	"Metformin 500mg tablets (Pfizer Ltd)"	"Oral tablet"	"Oral"	"Metformin"	"500mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"86727"	"Klinion Soft Fine Plus Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (Mediq Healthcare UK Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"10259"	"Insulin glargine 100units/ml solution for injection 10ml vials"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"41898"	"GLIBENCLAMIDE"	NA	NA	"Glibenclamide"	NA	"Unknown"	"Glibenclamide"	"Sulfonylureas"
"21110"	"Insulin biphasic isophane human prb 50:50; 100 units/ml Injection"	"Injection"	"Intramuscular"	"Insulin"	"50:50; 100 units/ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"7267"	"NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
"39086"	"Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"86376"	"NovoPen Echo Plus hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units Red (Novo Nordisk Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Reusable Pens"	"Insulin"	"Insulin"
"57830"	"Gliclazide 30mg modified-release tablets (Alliance Healthcare (Distribution) Ltd)"	"Modified-release tablet"	"Oral"	"Gliclazide"	"30mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"57243"	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge (B.Braun Medical Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"78392"	"Metformin 850mg tablets (Zentiva Pharma UK Ltd)"	"Oral tablet"	"Oral"	"Metformin"	"850mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"22161"	"INSULIN HUMULIN M1 VIAL"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"75651"	"4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Nipro Diagnostics (UK) Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"74479"	"Insulin lispro 100units/ml solution for injection 3ml pre-filled pen (Sanofi)"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"86016"	"HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (HTL-STREFA S.A.)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"62899"	"Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Solution for injection"	"Subcutaneous"	"Liraglutide/Insulin"	"100unit/1ml + 3.6mg/1ml"	"Intermediate- And Long-Acting Insulins/GLP-1 Receptor Agonists Plus Insulin"	"Liraglutide/Insulin"	"GLP-1RAs, Insulin"
"63421"	"Pioglitazone 30mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"30mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"	"Other"
"8376"	"INSULIN ISOPHANE 100 I/U"	NA	NA	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"82890"	"Metformin 850mg tablets (Milpharm Ltd)"	"Oral tablet"	"Oral"	"Metformin"	"850mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"69715"	"Fiasp 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)"	"Solution for injection"	"Intravenous/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"71487"	"BD Viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Becton, Dickinson UK Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"77291"	"Gliclazide 80mg tablets (Kent Pharma (UK) Ltd)"	"Oral tablet"	"Oral"	"Gliclazide"	"80mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"13819"	"Hypurin Porcine Isophane 100units/ml suspension for injection 1.5ml cartridges (C P Pharmaceuticals Ltd)"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Unknown"	"Insulin"	"Insulin"
"18931"	"Insulin zinc crystalline human 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Unknown"	"Insulin"	"Insulin"
"63107"	"Pioglitazone 45mg tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Pioglitazone"	"45mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"	"Other"
"18208"	"Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 10mm/29gauge"	"Hypodermic Needle"	NA	"Insulin"	"10mm/29gauge"	"Needle For Pre-Filled And Reusable Pen Injector-Snap On"	"Insulin"	"Insulin"
"86083"	"Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Spirit Healthcare Ltd)"	"Suppository"	"Rectal"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"11321"	"NovoNorm 1mg tablets (Novo Nordisk Ltd)"	"Oral tablet"	"Oral"	"Repaglinide"	"1mg"	"Meglitinides (Glinides)"	"Repaglinide"	"Other"
"71430"	"Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"60750"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"68289"	"Glimepiride 4mg tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Glimepiride"	"4mg"	"Sulphonylureas"	"Glimepiride"	"Sulfonylureas"
"76533"	"Insulin lispro Sanofi 100units/ml solution for injection 10ml vials (Sanofi)"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"71020"	"Acarbose 50mg tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Acarbose"	"50mg"	"Other Antidiabetic Products"	"Acarbose"	"Other"
"35081"	"OptiClik hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Grey (Sanofi)"	"Insulin Pen"	NA	"Insulin"	"3ml/1-80 units"	"Reusable Pens"	"Insulin"	"Insulin"
"63307"	"Metformin 1g/5ml oral solution"	"Oral solution"	"Oral"	"Metformin"	"200mg/1ml"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"8118"	"Humaject i 100iu/ml Pen (Eli Lilly and Company Ltd)"	"Pen"	"Subcutaneous Injection"	"Insulin"	"100iu/ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"54885"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"73285"	"Metformin 500mg tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Metformin"	"500mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"54265"	"Dapagliflozin 5mg tablets"	"Oral tablet"	"Oral"	"Dapagliflozin"	"5mg"	"SGLT2 Inhibitors (Gliflozins)"	"Dapagliflozin"	"SGLT-2is"
"50970"	"Metformin 500mg tablets (Bristol Laboratories Ltd)"	"Oral tablet"	"Oral"	"Metformin"	"500mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"51107"	"Hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Reusable Pens"	"Insulin"	"Insulin"
"43953"	"Insulin lispro biphasic 25/75 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"75unit/1ml + 25unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"18461"	"Insulin zinc mixed human 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Unknown"	"Insulin"	"Insulin"
"322"	"Humalog 100units/ml solution for injection 1.5ml cartridges (Eli Lilly and Company Ltd)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Unknown"	"Insulin"	"Insulin"
"14362"	"Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"1842"	"Pork velosulin 100unit/ml Injection (Novo Nordisk Ltd)"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"	"Insulin"
"13277"	"Mixtard 50 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
"25636"	"Libanil 2.5mg Tablet (Approved Prescription Services Ltd)"	"Oral tablet"	"Oral"	"Glibenclamide"	"2.5mg"	"Sulphonylureas"	"Glibenclamide"	"Sulfonylureas"
"40555"	"HumaPen Memoir hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units (Eli Lilly and Company Ltd)"	"Insulin Pen"	NA	"Insulin"	"3ml/1-60 units"	"Reusable Pens"	"Insulin"	"Insulin"
"59133"	"BD SafetyGlide hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm safety needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"	"Insulin"
"7393"	"Insulin glargine 100units/ml solution for injection 3ml cartridges"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"5873"	"BD Micro-Fine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Becton, Dickinson UK Ltd)"	"Pen Needle"	NA	"Insulin"	"5mm/31gauge"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"75823"	"Gliclazide 40mg tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Gliclazide"	"40mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"27501"	"Orabet 500mg Tablet (Lagap)"	"Oral tablet"	"Oral"	"Metformin"	"500mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"31474"	"Libanil 5mg Tablet (Approved Prescription Services Ltd)"	"Oral tablet"	"Oral"	"Glibenclamide"	"5mg"	"Sulphonylureas"	"Glibenclamide"	"Sulfonylureas"
"21892"	"Diaglyk 80mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Gliclazide"	"80mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"51743"	"NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"87852"	"Glyxambi 25mg/5mg tablets (Boehringer Ingelheim Ltd)"	"Oral tablet"	"Oral"	"Linagliptin/Empagliflozin"	"25mg + 5mg"	"Gliflozins Plus Gliptins"	"Linagliptin/Empagliflozin"	"DPP-4is, SGLT-2is"
"5164"	"NovoPen 3 Demi hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units (Novo Nordisk Ltd)"	"Insulin Pen"	NA	"Insulin"	"3ml/1-35 units"	"Reusable Pens"	"Insulin"	"Insulin"
"59620"	"Glucophage SR 500mg tablets (Waymade Healthcare Plc)"	"Modified-release tablet"	"Oral"	"Metformin"	"500mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"7537"	"Humulin Zn 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Unknown"	"Insulin"	"Insulin"
"44738"	"Niddaryl 1mg tablets (Dee Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Glimepiride"	"1mg"	"Sulphonylureas"	"Glimepiride"	"Sulfonylureas"
"5989"	"Nateglinide 180mg tablets"	"Oral tablet"	"Oral"	"Nateglinide"	"180mg"	"Meglitinides (Glinides)"	"Nateglinide"	"Other"
"40425"	"Nazdol MR 30mg tablets (Teva UK Ltd)"	"Modified-release tablet"	"Oral"	"Gliclazide"	"30mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"50124"	"Januvia 25mg tablets (Merck Sharp & Dohme (UK) Ltd)"	"Oral tablet"	"Oral"	"Sitagliptin"	"25mg"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"	"DPP-4is"
"74392"	"Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pens (Lexon (UK) Ltd)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"11408"	"Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd)"	"Insulin Pen"	NA	"Insulin"	"3ml/1-21 units"	"Reusable Pens"	"Insulin"	"Insulin"
"58798"	"GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (GlucoRx Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"82985"	"Sitagliptin 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sitagliptin"	"10mg/1ml"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"	"DPP-4is"
"14270"	"Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"25735"	"Insulin isophane biphasic human 20/80 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"20unit/1ml + 80unit/1ml"	"Unknown"	"Insulin"	"Insulin"
"19658"	"Glurenorm 30mg tablets (Sanofi)"	"Oral tablet"	"Oral"	"Gliquidone"	"30mg"	"Unknown"	"Gliquidone"	"Sulfonylureas"
"26784"	"INSULIN ZINC SEMILENTE SUSP BP 100 I/U INJ"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"72695"	"Metformin 500mg Tablet (Celltech Pharma Europe Ltd)"	"Oral tablet"	"Oral"	"Metformin"	"500mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"54442"	"Metformin (roi) 1000mg Tablet"	"Tablet"	"Oral"	"Metformin"	"1000mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
