prodcodeid	productname
5576041000033115	Metformin 1g / Sitagliptin 50mg tablets
5697241000033112	Bd-Microfine +  Needles for insulin pens  4 mm/32 gauge
5709141000033115	Hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units
5709241000033110	Hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units
5709341000033117	Hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units
5709441000033111	Hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
5709541000033112	Hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units
5709641000033113	Hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units
5709741000033116	Gliclazide 40mg tablets
5709841000033114	Zicron 40mg tablets
5709941000033118	Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.3mm/30gauge
5710041000033114	Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.3mm/30gauge
5732041000033119	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12.7mm/29gauge
5732141000033115	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/28gauge
5732441000033111	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
5733041000033111	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
5733341000033113	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
5733441000033119	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
5733541000033118	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge
5733741000033114	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
5734041000033114	Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 10mm/29gauge
5734141000033113	Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 12mm/29gauge
5734241000033118	Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 6mm/31gauge
5734341000033111	Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 8mm/31gauge
5815341000033115	Edicil MR 30mg tablets
5819941000033118	ClikSTAR hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units
5820041000033115	ClikSTAR hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units
5869241000033114	Gliclazide 40mg/5ml oral suspension
5905141000033111	IME-FINE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
5905241000033116	IME-FINE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
5909641000033116	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/29gauge
5910741000033117	Humulin M3 KwikPen 100units/ml suspension for injection 3ml pre-filled pens
5911541000033119	Humulin I KwikPen 100units/ml suspension for injection 3ml pre-filled pens
5968741000033115	Glibenclamide 5mg/5ml oral solution
5968841000033113	Glibenclamide 5mg/5ml oral suspension
5997041000033115	Metformin 500mg/5ml oral solution
6006341000033111	NovoTwist hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge
6011841000033112	Insuman Comb 25 100units/ml suspension for injection 3ml pre-filled SoloStar pens
6029841000033115	Metabet SR 500mg tablets
6123241000033112	Saxagliptin 2.5mg tablets
6123341000033119	Onglyza 2.5mg tablets
6279741000033117	Metabet SR 1000mg tablets
6364241000033114	BD AutoShield hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/29gauge
6388241000033117	Exenatide 2mg powder and solvent for prolonged-release suspension for injection vials
6388341000033110	Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials
6389641000033111	Insuman Basal 100units/ml suspension for injection 3ml pre-filled SoloStar pens
6391041000033117	Glucient SR 500mg tablets
6391141000033118	Enyglid 0.5mg tablets
6391341000033115	Enyglid 2mg tablets
6444041000033117	Linagliptin 5mg tablets
6444141000033118	Trajenta 5mg tablets
6448141000033113	Mylife Clickfine AutoProtect hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/29gauge
6456441000033119	NovoRapid FlexTouch 100units/ml solution for injection 3ml pre-filled pens
6463141000033112	Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4.5mm/31gauge
6490641000033114	Comfort Point  Needles for insulin pens  4 mm/31 gauge
6490741000033117	Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
6490841000033110	Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
6490941000033119	Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge
6491041000033112	Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
6518241000033118	BD AutoShield Duo hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge
6519641000033112	NovoPen Echo hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units
6519741000033115	NovoPen Echo hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units
6526041000033117	Glizofar 30mg tablets
6535141000033111	Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
6535241000033116	Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
6535341000033114	Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
6535541000033119	Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
6535641000033118	Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
7684841000033117	Clickfine  Needles for insulin pens  6 mm/31 gauge
7684941000033113	Clickfine  Needles for insulin pens  8 mm/31 gauge
7685041000033113	Clickfine  Needles for insulin pens  10 mm/29 gauge
7685141000033112	Clickfine  Needles for insulin pens  12 mm/29 gauge
7687241000033110	Sitagliptin 50mg tablets
7687341000033117	Januvia 50mg tablets
7687441000033111	Sitagliptin 25mg tablets
7687541000033112	Januvia 25mg tablets
7874941000033110	Diagemet XL 500mg tablets
8052741000033110	Droplet hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge
8056341000033110	Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 6mm/31gauge
8056441000033116	Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 8mm/31gauge
8056541000033115	Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 10mm/29gauge
8056641000033119	Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 12mm/29gauge
8115741000033119	Linagliptin 2.5mg / Metformin 1g tablets
8115841000033112	Linagliptin 2.5mg / Metformin 850mg tablets
8115941000033116	Jentadueto 2.5mg/1000mg tablets
8116041000033114	Jentadueto 2.5mg/850mg tablets
8125241000033119	Glimepiride 6mg/5ml oral suspension
8199341000033118	Dapagliflozin 5mg tablets
8199441000033112	Dapagliflozin 10mg tablets
8199541000033113	Forxiga 5mg tablets
8199641000033114	Forxiga 10mg tablets
8241541000033119	Microdot Droplet hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
8241641000033118	Microdot Droplet hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
8242541000033112	Saxagliptin 2.5mg / Metformin 850mg tablets
8242641000033113	Saxagliptin 2.5mg / Metformin 1g tablets
8242741000033116	Komboglyze 2.5mg/850mg tablets
8242841000033114	Komboglyze 2.5mg/1000mg tablets
8243941000033112	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
8244041000033114	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
8244241000033118	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
8244341000033111	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge
8244441000033117	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
8244541000033116	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32gauge
8244641000033115	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
8263941000033117	Insulin degludec 100units/ml solution for injection 3ml pre-filled disposable devices
8264041000033115	Insulin degludec 200units/ml solution for injection 3ml pre-filled disposable devices
8264141000033116	Tresiba FlexTouch 100units/ml solution for injection 3ml pre-filled pens
8264241000033111	Tresiba FlexTouch 200units/ml solution for injection 3ml pre-filled pens
8264341000033118	Insulin degludec 100units/ml solution for injection 3ml cartridges
8264441000033112	Tresiba Penfill 100units/ml solution for injection 3ml cartridges
8267341000033110	Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices
8267441000033116	Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices
8267541000033115	Lyxumia 10micrograms/0.2ml solution for injection 3ml pre-filled pens
8267641000033119	Lyxumia 20micrograms/0.2ml solution for injection 3ml pre-filled pens
8268441000033115	Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices and Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices
8268641000033118	Lyxumia 10micrograms/20micrograms treatment initiation pack
8280641000033118	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm safety needle 0.33mm/29gauge
8280841000033117	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm safety needle 0.3mm/30gauge
8281141000033116	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm safety needle 0.33mm/29gauge
8281241000033111	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm safety needle 0.3mm/30gauge
8281341000033118	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm safety needle 0.33mm/29gauge
8281441000033112	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm safety needle 0.3mm/30gauge
8281541000033113	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm safety needle 0.33mm/29gauge
8281641000033114	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm safety needle 0.3mm/30gauge
8281741000033117	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm safety needle 0.33mm/29gauge
8281841000033110	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm safety needle 0.3mm/30gauge
8281941000033119	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm safety needle 0.33mm/29gauge
8282041000033113	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm safety needle 0.3mm/30gauge
8298141000033113	Gliclazide 60mg modified-release tablets
8298241000033118	Laaglyda MR 60mg tablets
8318141000033117	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
8318241000033112	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
8318341000033119	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
8318441000033113	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
8318541000033114	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
8318641000033110	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
8348941000033113	Bolamyn SR 1000mg tablets
8494141000033119	BD Micro-Fine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
8495341000033115	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/29gauge
8495441000033114	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge
8495541000033110	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge
8495641000033111	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32gauge
8495741000033119	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge
8495841000033112	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge
8535941000033119	Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4.5mm/31gauge
8538641000033119	Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge
8586041000033117	Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
8586341000033115	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32.5gauge
8586441000033114	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32.5gauge
8586541000033110	Nanopass hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32.5gauge
8586641000033111	Nanopass hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32.5gauge
8622241000033111	GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge
8622341000033118	GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
8622541000033113	GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
8622841000033110	GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
8623241000033116	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge
8623341000033114	GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge
8623441000033115	GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
8839341000033116	Glidipion 30mg tablets
8880741000033117	Mylife Penfine Classic hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
8880841000033110	Mylife Penfine Classic hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge
8881041000033112	Mylife Penfine Classic hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
8881241000033116	BD SafetyGlide hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm safety needle 0.25mm/31gauge
8881341000033114	BD SafetyGlide hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm safety needle 0.3mm/30gauge
8881441000033115	BD SafetyGlide hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm safety needle 0.33mm/29gauge
8881541000033119	BD SafetyGlide hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm safety needle 0.33mm/29gauge
8884241000033118	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge
8954241000033119	Microdot Droplet hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
8959241000033118	Alogliptin 6.25mg tablets
8959341000033111	Alogliptin 12.5mg tablets
8959441000033117	Alogliptin 25mg tablets
8959541000033116	Vipidia 6.25mg tablets
8959641000033115	Vipidia 12.5mg tablets
8959741000033112	Vipidia 25mg tablets
8959841000033119	Alogliptin 12.5mg / Metformin 1g tablets
8959941000033110	Vipdomet 12.5mg/1000mg tablets
8963741000033119	Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4mm/32gauge
8966741000033113	Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4mm/32gauge
9106041000033110	Dapagliflozin 5mg / Metformin 1g tablets
9106141000033114	Dapagliflozin 5mg / Metformin 850mg tablets
9106241000033119	Xigduo 5mg/1000mg tablets
9106341000033112	Xigduo 5mg/850mg tablets
9110341000033112	Canagliflozin 100mg tablets
9110441000033118	Canagliflozin 300mg tablets
9110541000033117	Invokana 100mg tablets
9110641000033116	Invokana 300mg tablets
9161441000033114	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge
9161541000033110	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge
9230641000033113	Sukkarto SR 500mg tablets
9230841000033114	Sukkarto SR 1000mg tablets
9336641000033119	Empagliflozin 10mg tablets
9336841000033118	Empagliflozin 25mg tablets
9337141000033114	Jardiance 10mg tablets
9337241000033119	Jardiance 25mg tablets
9677041000033116	Insulin aspart 100units/ml solution for injection 1.6ml cartridges
9677141000033117	NovoRapid PumpCart 100units/ml solution for injection 1.6ml cartridges
9707541000033114	TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
9707641000033110	TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
9707741000033118	TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
9707841000033111	TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
9851541000033114	Canagliflozin 50mg / Metformin 1g tablets
9851641000033110	Canagliflozin 50mg / Metformin 850mg tablets
9851741000033118	Vokanamet 50mg/850mg tablets
9851841000033111	Vokanamet 50mg/1000mg tablets
10019141000033111	Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
10021741000033116	NeedleBay Fine Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
10021841000033114	NeedleBay Fine Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
10021941000033118	NeedleBay Fine Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
10042541000033117	Exenatide  Prolonged release suspension for injection  2 mg device
10042641000033116	Bydureon  Prolonged release suspension for injection  2 mg pen
10043341000033116	Vamju 30mg modified-release tablets
10043441000033110	Vamju 60mg modified-release tablets
10044541000033113	Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices
10044641000033114	Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens
10207841000033118	Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices
10207941000033114	Dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices
10208041000033112	Trulicity 0.75mg/0.5ml solution for injection pre-filled pens
10208141000033111	Trulicity 1.5mg/0.5ml solution for injection pre-filled pens
10251341000033112	Glidipion 15mg tablets
10252641000033111	Insulin lispro 200units/ml solution for injection 3ml pre-filled disposable devices
10252741000033119	Humalog KwikPen 200units/ml solution for injection 3ml pre-filled pens
10259341000033113	NovoPen 5 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
10259441000033119	NovoPen 5 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
10259541000033118	JuniorSTAR hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units
10259641000033117	JuniorSTAR hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units
10259741000033114	JuniorSTAR hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units
10259941000033112	Comfort Point  Needles for insulin pens  5 mm/31 gauge
10260741000033113	GlucoRx FinePoint Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
10336941000033112	Diabiom 15mg tablets
10337041000033113	Diabiom 30mg tablets
10494241000033110	Insulin glargine 300units/ml solution for injection 1.5ml pre-filled disposable devices
10494441000033111	Toujeo 300units/ml solution for injection 1.5ml pre-filled SoloStar pens
10598841000033113	Glucient SR 750mg tablets
10598941000033117	Glucient SR 1000mg tablets
10600641000033118	Abasaglar 100units/ml solution for injection 3ml cartridges
10600741000033110	Abasaglar KwikPen 100units/ml solution for injection 3ml pre-filled pens
10614141000033116	Empagliflozin 5mg / Metformin 850mg tablets
10614241000033111	Empagliflozin 5mg / Metformin 1g tablets
10614341000033118	Empagliflozin 12.5mg / Metformin 850mg tablets
10614441000033112	Empagliflozin 12.5mg / Metformin 1g tablets
10614541000033113	Synjardy 5mg/850mg tablets
10614641000033114	Synjardy 5mg/1000mg tablets
10614741000033117	Synjardy 12.5mg/850mg tablets
10614841000033110	Synjardy 12.5mg/1000mg tablets
10623141000033112	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
10623241000033117	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
10623341000033110	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
10623441000033116	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
10623541000033115	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge
10639641000033119	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
10674141000033111	Insuman Infusat 100units/ml solution for injection 10ml vials
10674341000033114	Insuman Infusat 100units/ml solution for injection 3.15ml cartridges
10701641000033116	Bilxona 30mg modified-release tablets
10701741000033113	Bilxona 60mg modified-release tablets
10951041000033114	Albiglutide 30mg powder and solvent for solution for injection pre-filled disposable devices
10951141000033113	Albiglutide 50mg powder and solvent for solution for injection pre-filled disposable devices
10982741000033111	HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
10982841000033118	HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
10982941000033114	HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge
10983041000033116	HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
10983241000033112	HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
10983441000033113	HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge
11075341000033112	BD Viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
11075441000033118	BD Viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
11075541000033117	BD Viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
11078441000033114	Carepoint  Needles for insulin pens  4 mm/31 gauge
11078541000033110	Carepoint  Needles for insulin pens  5 mm/31 gauge
11078641000033111	Carepoint  Needles for insulin pens  6 mm/31 gauge
11078741000033119	Carepoint  Needles for insulin pens  8 mm/31 gauge
11078841000033112	Carepoint  Needles for insulin pens  12 mm/29 gauge
11414341000033114	Nanopass hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge
11414441000033115	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge
11536041000033117	Mylife Clickfine AutoProtect hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
11736441000033110	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge
11736541000033111	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
11736641000033112	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
11736741000033115	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
11736841000033113	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge
11736941000033117	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
11737041000033116	Neon Verifine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
11767441000033115	PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
11767541000033119	PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
11767641000033118	PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
11767941000033113	PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
11768141000033110	PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
11781341000033117	Metformin 1g/5ml oral solution sugar free
11781441000033111	Metformin 850mg/5ml oral solution sugar free
11813541000033114	Microdot Verifine Safety  Needles for insulin pens  5 mm/30 gauge
11814141000033119	Neon Verifine Safety hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
11814341000033116	Neon Verifine Safety hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge
11898041000033111	Saxagliptin 5mg / Dapagliflozin 10mg tablets
11898141000033110	Qtern 5mg/10mg tablets
11918941000033116	Zicron PR 30mg tablets
11919041000033113	Saxenda 6mg/ml solution for injection 3ml pre-filled pens
12146841000033115	Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
12186441000033111	Fiasp 100units/ml solution for injection 10ml vials
12186541000033112	Fiasp FlexTouch 100units/ml solution for injection 3ml pre-filled pens
12186641000033113	Fiasp Penfill 100units/ml solution for injection 3ml cartridges
12326541000033110	Meijumet 500mg modified-release tablets
12326641000033111	Meijumet 750mg modified-release tablets
12326741000033119	Meijumet 1000mg modified-release tablets
12333341000033110	AllStar hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units
12333441000033116	AllStar hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units
12380741000033111	Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
12380841000033118	Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge
12380941000033114	Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge
12388941000033112	GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge
12389141000033116	GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
12389241000033111	GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
12389341000033118	GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
12389441000033112	GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
12419841000033117	BD Viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
12436041000033110	AllStar Pro hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units
12436141000033114	AllStar Pro hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units
12447541000033115	GlucoRx CarePoint Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
12478141000033112	GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge
12480041000033117	Dropsafe Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
12480141000033118	Dropsafe Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
12481641000033115	Humulin R KwikPen 500units/ml solution for injection 3ml pre-filled pens
12486241000033111	Humalog Junior KwikPen 100units/ml solution for injection 3ml pre-filled pens
12499641000033117	Mylife Penfine Classic hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
12518941000033113	Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge
12519341000033119	Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge
12519841000033111	Carefine  Needles for insulin pens  4 mm/32 gauge
12519941000033115	Carefine  Needles for insulin pens  5 mm/31 gauge
12520041000033117	Carefine  Needles for insulin pens  6 mm/31 gauge
12520141000033118	Carefine  Needles for insulin pens  8 mm/31 gauge
12541241000033115	U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.3 ml, 0.3 mm/30g
