"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Antidiabetic"
"1736941000033118"	"Humalog Mix25 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"25.000unit/1.000ml + 25.000unit/1.000ml + 75.000unit/1.000ml + 75.000unit/1.000ml"	"6010102"	"Insulin"
"1737041000033117"	"Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"25.000unit/1.000ml + 25.000unit/1.000ml + 75.000unit/1.000ml + 75.000unit/1.000ml"	NA	"Insulin"
"1739941000033110"	"Insulin lispro 100units/ml solution for injection 3ml cartridges"	"Solution for injection"	"Intramuscular/ Subcutaneous/ Intravenous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010101"	"Insulin"
"1749441000033116"	"Pork Actrapid 100units/ml solution for injection 10ml vials"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	NA	"Insulin"
"1818141000033110"	"Human Mixtard 10 Penfill 100units/ml suspension for injection 1.5ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"90.000unit/1.000ml + 90.000unit/1.000ml + 10.000unit/1.000ml + 10.000unit/1.000ml"	NA	"Insulin"
"1818241000033115"	"Human Mixtard 20 Penfill 100units/ml suspension for injection 1.5ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"80.000unit/1.000ml + 80.000unit/1.000ml + 20.000unit/1.000ml + 20.000unit/1.000ml"	NA	"Insulin"
"1818341000033113"	"Human Mixtard 30 Penfill 100units/ml suspension for injection 1.5ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml"	NA	"Insulin"
"1818441000033119"	"Human Mixtard 40 Penfill 100units/ml suspension for injection 1.5ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"60.000unit/1.000ml + 60.000unit/1.000ml + 40.000unit/1.000ml + 40.000unit/1.000ml"	NA	"Insulin"
"1818541000033118"	"Human Mixtard 50 Penfill 100units/ml suspension for injection 1.5ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml"	NA	"Insulin"
"1821441000033116"	"Insulin isophane porcine 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Intramuscular/ Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"1821541000033115"	"Insulin isophane porcine 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous/ Intramuscular"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"1821641000033119"	"Insulin isophane bovine 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Intramuscular/ Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"1821741000033111"	"Insulin isophane bovine 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Intramuscular/ Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"1821841000033118"	"BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"1844541000033119"	"BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"1861941000033119"	"Insulin aspart 100units/ml solution for injection 10ml vials"	"Solution for injection"	"Intravenous/ Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010101"	"Insulin"
"1862041000033113"	"Insulin aspart 100units/ml solution for injection 3ml cartridges"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010101"	"Insulin"
"1862141000033112"	"Insulin Aspart Prefilled syringes 100 units/ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"1862241000033117"	"NovoRapid 100units/ml solution for injection 10ml vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010101"	"Insulin"
"1862341000033110"	"NovoRapid Penfill 100units/ml solution for injection 3ml cartridges"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010101"	"Insulin"
"1862441000033116"	"NovoRapid Novolet 100units/ml solution for injection"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010101"	"Insulin"
"1906641000033110"	"Disposable Insulin syringe with needle 0.3 ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"1923241000033113"	"NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"1923341000033115"	"NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/28gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"1923441000033114"	"NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/30gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"1923541000033110"	"NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2011641000033110"	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2011741000033118"	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2016741000033113"	"Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 1 unit dial up / range 1-16 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2016841000033115"	"Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 2 unit dial up / range 2-32 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2016941000033111"	"Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2017041000033112"	"NovoPen 3 Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2017141000033111"	"NovoPen 3 Fun hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2017241000033116"	"NovoPen 3 Fun hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2018841000033116"	"Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Subcutaneous/ Intramuscular"	"Insulin"	"70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml"	"6010102"	"Insulin"
"2018941000033112"	"Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 1.5ml cartridges"	"Suspension for injection"	"Subcutaneous/ Intramuscular"	"Insulin"	"70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml"	"6010102"	"Insulin"
"2034441000033116"	"Insuman Rapid 100units/ml solution for injection 5ml vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	NA	"Insulin"
"2034641000033119"	"Insuman Rapid 100units/ml solution for injection 3ml cartridges"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010101"	"Insulin"
"2035241000033118"	"Insuman Basal 100units/ml suspension for injection 5ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2035441000033117"	"Insuman Basal 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2035541000033116"	"Insuman Comb 25 100units/ml suspension for injection 5ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"75.000unit/1.000ml + 75.000unit/1.000ml + 25.000unit/1.000ml + 25.000unit/1.000ml"	"6010102"	"Insulin"
"2035641000033115"	"Insuman Comb 25 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"75.000unit/1.000ml + 75.000unit/1.000ml + 25.000unit/1.000ml + 25.000unit/1.000ml"	"6010102"	"Insulin"
"2052341000033117"	"Optipen Pro 1 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"2088441000033116"	"NovoPen 3 Demi hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2147541000033115"	"Rosiglitazone 4mg tablets"	"Tablet"	"Oral"	"Rosiglitazone"	"4.000mg"	NA	"Rosiglitazone"
"2147641000033119"	"Rosiglitazone 8mg tablets"	"Tablet"	"Oral"	"Rosiglitazone"	"8.000mg"	NA	"Rosiglitazone"
"2147741000033111"	"Avandia 4mg tablets"	"Tablet"	"Oral"	"Rosiglitazone"	"4.000mg"	NA	"Rosiglitazone"
"2147841000033118"	"Avandia 8mg tablets"	"Tablet"	"Oral"	"Rosiglitazone"	"8.000mg"	NA	"Rosiglitazone"
"2158441000033118"	"Insuman Comb 15 100units/ml suspension for injection 5ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"85.000unit/1.000ml + 85.000unit/1.000ml + 15.000unit/1.000ml + 15.000unit/1.000ml"	"6010102"	"Insulin"
"2158541000033117"	"Insuman Comb 15 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"85.000unit/1.000ml + 85.000unit/1.000ml + 15.000unit/1.000ml + 15.000unit/1.000ml"	"6010102"	"Insulin"
"2158641000033116"	"Insuman Comb 50 100units/ml suspension for injection 5ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml"	"6010102"	"Insulin"
"2158741000033113"	"Insuman Comb 50 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml"	"6010102"	"Insulin"
"2182141000033117"	"Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml"	NA	"Insulin"
"2182241000033112"	"Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices"	"Solution for injection"	"Intravenous/ Subcutaneous/ Intramuscular"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010101"	"Insulin"
"2182341000033119"	"Humalog Pen 100units/ml solution for injection 3ml pre-filled pens"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	NA	"Insulin"
"2182441000033113"	"Humulin I Pen 100units/ml suspension for injection 3ml pre-filled pens"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2190741000033115"	"Pioglitazone 15mg tablets"	"Tablet"	"Oral"	"Pioglitazone"	"15.000mg"	"6010203"	"Pioglitazone"
"2190841000033113"	"Pioglitazone 30mg tablets"	"Tablet"	"Oral"	"Pioglitazone"	"30.000mg"	"6010203"	"Pioglitazone"
"2190941000033117"	"Actos 15mg tablets"	"Tablet"	"Oral"	"Pioglitazone"	"15.000mg"	"6010203"	"Pioglitazone"
"2191041000033110"	"Actos 30mg tablets"	"Tablet"	"Oral"	"Pioglitazone"	"30.000mg"	"6010203"	"Pioglitazone"
"2194041000033112"	"Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2266841000033110"	"Insuman Basal 100units/ml suspension for injection 3ml pre-filled OptiSet pens"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2266941000033119"	"Insuman Rapid 100units/ml solution for injection 3ml pre-filled OptiSet pens"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010101"	"Insulin"
"2267041000033118"	"Insuman Comb 15 100units/ml suspension for injection 3ml pre-filled OptiSet pens"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"85.000unit/1.000ml + 85.000unit/1.000ml + 15.000unit/1.000ml + 15.000unit/1.000ml"	"6010102"	"Insulin"
"2267141000033119"	"Insuman Comb 25 100units/ml suspension for injection 3ml pre-filled OptiSet pens"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"75.000unit/1.000ml + 75.000unit/1.000ml + 25.000unit/1.000ml + 25.000unit/1.000ml"	"6010102"	"Insulin"
"2267241000033114"	"Insuman Comb 50 100units/ml suspension for injection 3ml pre-filled OptiSet pens"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml"	"6010102"	"Insulin"
"2284041000033113"	"Innovo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-70 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2284141000033112"	"Innovo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-70 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2288241000033112"	"Nateglinide 60mg tablets"	"Tablet"	"Oral"	"Nateglinide"	"60.000mg"	"6010203"	"Nateglinide"
"2288341000033119"	"Nateglinide 120mg tablets"	"Tablet"	"Oral"	"Nateglinide"	"120.000mg"	"6010203"	"Nateglinide"
"2288441000033113"	"Nateglinide 180mg tablets"	"Tablet"	"Oral"	"Nateglinide"	"180.000mg"	"6010203"	"Nateglinide"
"2288541000033114"	"Starlix 60mg tablets"	"Tablet"	"Oral"	"Nateglinide"	"60.000mg"	"6010203"	"Nateglinide"
"2288641000033110"	"Starlix 120mg tablets"	"Tablet"	"Oral"	"Nateglinide"	"120.000mg"	"6010203"	"Nateglinide"
"2288741000033118"	"Starlix 180mg tablets"	"Tablet"	"Oral"	"Nateglinide"	"180.000mg"	"6010203"	"Nateglinide"
"2289441000033115"	"Gliclazide 30mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Gliclazide"	"30.000mg"	"6010201"	"Gliclazide"
"2289941000033113"	"Diamicron 30mg MR tablets"	"Modified-release tablet"	"Oral"	"Gliclazide"	"30.000mg"	"6010201"	"Gliclazide"
"2423641000033110"	"*Insulin Tablets"	"Tablet"	"Oral"	"Insulin"	NA	NA	"Insulin"
"2424041000033118"	"*Insulin Pills (Sucrose)"	"Tablet"	"Oral"	"Insulin"	NA	NA	"Insulin"
"2527841000033114"	"Penfine Needles for insulin pens 31g, 6 mm"	NA	NA	"Insulin"	NA	NA	"Insulin"
"2527941000033118"	"Penfine Needles for insulin pens 31g, 8 mm"	NA	NA	"Insulin"	NA	NA	"Insulin"
"2528041000033115"	"Penfine Needles for insulin pens 29g, 10 mm"	NA	NA	"Insulin"	NA	NA	"Insulin"
"2528141000033116"	"Penfine Needles for insulin pens 29g, 12 mm"	NA	NA	"Insulin"	NA	NA	"Insulin"
"2620241000033119"	"Metformin 500mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Metformin"	"100.000mg/1.000ml"	NA	"Metformin"
"2625441000033112"	"Novopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2625541000033113"	"Novopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2644641000033113"	"Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pens"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2644741000033116"	"Mixtard 30 InnoLet 100units/ml suspension for injection 3ml pre-filled pens"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml"	NA	"Insulin"
"2655041000033116"	"Autopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2655141000033117"	"Autopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2719341000033116"	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2724741000033111"	"NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"30.000unit/1.000ml + 30.000unit/1.000ml + 70.000unit/1.000ml + 70.000unit/1.000ml"	"6010102"	"Insulin"
"2724841000033118"	"NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"30.000unit/1.000ml + 30.000unit/1.000ml + 70.000unit/1.000ml + 70.000unit/1.000ml"	"6010102"	"Insulin"
"2742941000033119"	"Autopen Special Edition hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2743041000033112"	"Autopen Special Edition hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2780741000033111"	"Lantus 100units/ml solution for injection 10ml vials"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2780841000033118"	"Lantus 100units/ml solution for injection 3ml cartridges"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2780941000033114"	"Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2796641000033115"	"NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010101"	"Insulin"
"2796741000033112"	"Insulatard FlexPen 100units/ml suspension for injection"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2798841000033115"	"Insulin glargine 100units/ml solution for injection 10ml vials"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2798941000033111"	"Insulin glargine 100units/ml solution for injection 3ml cartridges"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2799041000033119"	"Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2868141000033110"	"Humulin 80/20 Injection 100 units/ml, 10 ml vial"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"2868241000033115"	"Humulin 70/30 Injection 100 units/ml, 10 ml vial"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"2868441000033119"	"Humulin 50/50 Injection 100 units/ml, 10 ml vial"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"2874541000033119"	"HumaPen Ergo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2874641000033118"	"HumaPen Ergo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2884141000033118"	"Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2884241000033113"	"Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"6010103"	"Insulin"
"2916941000033119"	"Hypurin Bovine Neutral 100units/ml solution for injection 3ml cartridges"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010101"	"Insulin"
"2917041000033118"	"Hypurin Bovine Isophane 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous/ Intramuscular"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2917141000033119"	"Hypurin Porcine Neutral 100units/ml solution for injection 3ml cartridges"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010101"	"Insulin"
"2917241000033114"	"Hypurin Porcine Isophane 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous/ Intramuscular"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2917341000033116"	"Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous/ Intramuscular"	"Insulin"	"70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml"	"6010102"	"Insulin"
"2952841000033116"	"Actrapid 100units/ml solution for injection 10ml vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010300"	"Insulin"
"2952941000033112"	"Actrapid NovoLet 100units/ml solution for injection"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010101"	"Insulin"
"2953041000033119"	"Actrapid Penfill 100units/ml solution for injection 3ml cartridges"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010101"	"Insulin"
"2953141000033115"	"Insulatard NovoLet 100units/ml suspension for injection"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2953241000033110"	"Insulatard 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2953341000033117"	"Insulatard Penfill 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"6010102"	"Insulin"
"2953441000033111"	"Mixtard 10 NovoLet 100units/ml suspension for injection"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"90.000unit/1.000ml + 90.000unit/1.000ml + 10.000unit/1.000ml + 10.000unit/1.000ml"	NA	"Insulin"
"2953541000033112"	"Mixtard 10 Penfill 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"90.000unit/1.000ml + 90.000unit/1.000ml + 10.000unit/1.000ml + 10.000unit/1.000ml"	NA	"Insulin"
"2953641000033113"	"Mixtard 20 NovoLet 100units/ml suspension for injection"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"80.000unit/1.000ml + 80.000unit/1.000ml + 20.000unit/1.000ml + 20.000unit/1.000ml"	NA	"Insulin"
"2953741000033116"	"Mixtard 20 Penfill 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"80.000unit/1.000ml + 80.000unit/1.000ml + 20.000unit/1.000ml + 20.000unit/1.000ml"	NA	"Insulin"
"2953841000033114"	"Mixtard 30 NovoLet 100units/ml suspension for injection"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml"	NA	"Insulin"
"2953941000033118"	"Mixtard 30 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml"	NA	"Insulin"
"2954041000033116"	"Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml"	NA	"Insulin"
"2954141000033117"	"Mixtard 40 NovoLet 100units/ml suspension for injection"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"60.000unit/1.000ml + 60.000unit/1.000ml + 40.000unit/1.000ml + 40.000unit/1.000ml"	NA	"Insulin"
"2954241000033112"	"Mixtard 40 Penfill 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"60.000unit/1.000ml + 60.000unit/1.000ml + 40.000unit/1.000ml + 40.000unit/1.000ml"	NA	"Insulin"
"2954341000033119"	"Mixtard 50 NovoLet 100units/ml suspension for injection"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml"	NA	"Insulin"
"2954441000033113"	"Mixtard 50 Injection 100 units/ml, 10 ml vial"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
